FCOICOP,AGGREGATE
0111,FOOD
0112,FOOD
0113,FOOD
0114,FOOD
0115,FOOD
0116,FOOD
0117,FOOD
0118,FOOD
0119,FOOD
0121,FOOD
0122,FOOD
0131,FOOD
0211,FOOD
0212,FOOD
0213,FOOD
022Z,FOOD
0241,FOOD
0311,IGD
0312,IGD
0313,IGD
0314,SERV
032Z,IGD
0331,SERV
0411,SERV
0412,SERV
0431,IGD
0443,SERV
0444,SERV
0450,SERV
0451,NRG
0452,NRG
0453,NRG
045A,NRG
0461,SERV
0511,IGD
051A,IGD
0521,IGD
0531,IGD
0532,IGD
0541,IGD
0551,IGD
0552,IGD
0561,IGD
0562,SERV
0571,SERV
0611,IGD
0621,SERV
0622,SERV
0623,SERV
0631,SERV
0641,SERV
0711,IGD
0712,IGD
0713,IGD
0721,IGD
0722,NRG
0723,IGD
0724,SERV
0736,SERV
073Z,SERV
0741,SERV
0811,SERV
0812,IGD
0813,SERV
0911,IGD
0913,IGD
0914,IGD
091A,IGD
092Z,IGD
0931,IGD
0932,IGD
093A,SERV
0941,SERV
0942,SERV
0943,SERV
0951,IGD
0952,IGD
0953,IGD
0954,IGD
0961,IGD
0971,SERV
1011,SERV
1012,SERV
1013,SERV
1014,SERV
1015,SERV
1111,SERV
1112,SERV
1113,SERV
1121,SERV
1211,SERV
1212,IGD
1231,IGD
1232,IGD
1233,IGD
1241,SERV
1251,SERV
1252,SERV
1253,SERV
1254,SERV
1255,SERV
1261,SERV
1271,SERV
1281,SERV
1291,SERV
1314,SERV
1315,SERV
1316,SERV
131A,SERV
132Z,SERV
1331,SERV
134Z,SERV
1351,SERV
