NOMENCLATURE;ZEAT;CONSO
01;0;3755
011;0;3226
0111;0;690
01111;0;108
01112;0;402
01113;0;40
01114;0;93
01115;0;47
0112;0;732
01121;0;143
01122;0;75
01123;0;24
01124;0;189
01125;0;192
01126;0;101
01127;0;7
0113;0;311
01130;0;139
01131;0;33
01132;0;54
01133;0;28
01134;0;58
0114;0;393
01145;0;119
01147;0;46
0114A;0;84
0114B;0;144
0115;0;76
01151;0;20
0115A;0;46
0115B;0;10
0116;0;236
01161;0;44
01162;0;37
01168;0;35
01169;0;6
0116A;0;114
0117;0;436
01175;0;27
01176;0;15
01177;0;43
01178;0;18
01179;0;87
0117A;0;246
0118;0;200
01181;0;22
0118A;0;178
0119;0;151
0119Z;0;151
012;0;380
0121;0;89
01213;0;9
0121A;0;80
0122;0;291
01221;0;79
01222;0;68
0122A;0;144
013;0;149
0131;0;149
0131Z;0;149
02;0;483
021;0;271
0211;0;80
02111;0;80
0212;0;124
0212A;0;124
0213;0;68
02131;0;68
022;0;209
022Z;0;209
022ZZ;0;209
024;0;2
0241;0;2
02411;0;2
03;0;1230
031;0;818
0311;0;8
03111;0;8
0312;0;780
0312Z;0;780
0313;0;24
03131;0;24
0314;0;6
03141;0;6
032;0;296
032Z;0;296
032ZZ;0;296
033;0;116
0331;0;116
0331Z;0;116
04;0;3247
041;0;1673
0411;0;1660
04111;0;1660
0412;0;13
04121;0;13
043;0;177
0431;0;177
0431Z;0;177
044;0;601
0443;0;392
04431;0;392
0444;0;209
04441;0;209
045;0;714
0450;0;56
04500;0;56
0451;0;562
04511;0;562
0452;0;93
0452Z;0;93
0453;0;0
0453Z;0;0
045A;0;3
045AZ;0;3
046;0;82
0461;0;82
04611;0;82
05;0;1434
051;0;316
0511;0;288
0511Z;0;288
051A;0;28
051AZ;0;28
052;0;60
0521;0;60
0521Z;0;60
053;0;216
0531;0;191
0531Z;0;191
0532;0;24
05321;0;24
054;0;72
0541;0;72
0541Z;0;72
055;0;179
0551;0;56
0551Z;0;56
0552;0;123
0552Z;0;123
056;0;560
0561;0;285
0561Z;0;285
0562;0;275
0562Z;0;275
057;0;32
0571;0;32
0571Z;0;32
06;0;346
061;0;243
0611;0;243
0611Z;0;243
062;0;89
0621;0;41
06211;0;41
0622;0;24
06221;0;24
0623;0;24
0623Z;0;24
063;0;9
0631;0;9
06311;0;9
064;0;5
0641;0;5
0641Z;0;5
07;0;4379
071;0;1666
0711;0;1613
0711Z;0;1613
0712;0;36
07121;0;36
0713;0;17
07131;0;17
072;0;1928
0721;0;291
07211;0;291
