NOMENCLATURE;AGPR;CONSO
01;1;2047
011;1;1791
0111;1;470
01111;1;28
01112;1;223
01113;1;61
01114;1;115
01115;1;44
0112;1;375
01121;1;75
01122;1;17
01123;1;13
01124;1;84
01125;1;126
01126;1;59
01127;1;1
0113;1;83
01130;1;17
01131;1;6
01132;1;12
01133;1;11
01134;1;36
0114;1;270
01145;1;124
01147;1;23
0114A;1;37
0114B;1;87
0115;1;30
01151;1;14
0115A;1;13
0115B;1;3
0116;1;117
01161;1;22
01162;1;12
01168;1;21
01169;1;5
0116A;1;57
0117;1;219
01175;1;4
01176;1;4
01177;1;35
01178;1;30
01179;1;47
0117A;1;99
0118;1;138
01181;1;5
0118A;1;132
0119;1;89
0119Z;1;89
012;1;172
0121;1;38
01213;1;3
0121A;1;35
0122;1;134
01221;1;22
01222;1;35
0122A;1;78
013;1;84
0131;1;84
0131Z;1;84
02;1;561
021;1;203
0211;1;78
02111;1;78
0212;1;55
0212A;1;55
0213;1;70
02131;1;70
022;1;356
022Z;1;356
022ZZ;1;356
024;1;3
0241;1;3
02411;1;3
03;1;1208
031;1;835
0311;1;1
03111;1;1
0312;1;772
0312Z;1;772
0313;1;48
03131;1;48
0314;1;14
03141;1;14
032;1;269
032Z;1;269
032ZZ;1;269
033;1;105
0331;1;105
0331Z;1;105
04;1;5038
041;1;3599
0411;1;3599
04111;1;3599
0412;1;0
04121;1;0
043;1;182
0431;1;182
0431Z;1;182
044;1;546
0443;1;78
04431;1;78
0444;1;468
04441;1;468
045;1;649
0450;1;106
04500;1;106
0451;1;459
04511;1;459
0452;1;67
0452Z;1;67
0453;1;11
0453Z;1;11
045A;1;7
045AZ;1;7
046;1;62
0461;1;62
04611;1;62
05;1;709
051;1;291
0511;1;276
0511Z;1;276
051A;1;15
051AZ;1;15
052;1;13
0521;1;13
0521Z;1;13
053;1;168
0531;1;144
0531Z;1;144
0532;1;24
05321;1;24
054;1;58
0541;1;58
0541Z;1;58
055;1;45
0551;1;19
0551Z;1;19
0552;1;26
0552Z;1;26
056;1;112
0561;1;110
0561Z;1;110
0562;1;2
0562Z;1;2
057;1;23
0571;1;23
0571Z;1;23
06;1;290
061;1;140
0611;1;140
0611Z;1;140
062;1;142
0621;1;51
06211;1;51
0622;1;58
06221;1;58
0623;1;33
0623Z;1;33
063;1;8
0631;1;8
06311;1;8
064;1;0
0641;1;0
0641Z;1;0
07;1;3134
071;1;975
0711;1;828
0711Z;1;828
0712;1;132
07121;1;132
0713;1;14
07131;1;14
072;1;1284
0721;1;106
07211;1;106
0722;1;789
07221;1;789
0723;1;161
07231;1;161
0724;1;227
0724Z;1;227
073;1;667
0736;1;7
07361;1;7
073Z;1;660
073ZZ;1;660
074;1;209
0741;1;209
0741Z;1;209
08;1;713
081;1;713
0811;1;7
08111;1;7
0812;1;154
08121;1;154
0813;1;552
08131;1;552
09;1;1707
091;1;352
0911;1;105
0911Z;1;105
0913;1;152
09131;1;152
0914;1;35
09141;1;35
091A;1;60
091AZ;1;60
092;1;12
092Z;1;12
092ZZ;1;12
093;1;342
0931;1;201
0931Z;1;201
0932;1;30
09321;1;30
093A;1;111
093AZ;1;111
094;1;572
0941;1;217
09411;1;217
0942;1;341
0942Z;1;341
0943;1;14
09431;1;14
095;1;175
0951;1;126
09511;1;126
0952;1;12
09521;1;12
0953;1;3
09531;1;3
0954;1;34
09541;1;34
096;1;108
0961;1;108
09611;1;108
097;1;146
0971;1;146
0971Z;1;146
10;1;529
101;1;529
1011;1;1
10111;1;1
1012;1;1
10121;1;1
1013;1;443
10131;1;443
1014;1;51
10141;1;51
1015;1;31
1015Z;1;31
11;1;1713
111;1;1564
1111;1;1218
11111;1;486
11112;1;733
1112;1;203
11121;1;203
1113;1;143
1113Z;1;143
112;1;149
1121;1;149
11211;1;149
12;1;1930
121;1;437
1211;1;192
12111;1;192
1212;1;245
1212Z;1;245
123;1;107
1231;1;27
12311;1;27
1232;1;29
1232Z;1;29
1233;1;52
12331;1;52
124;1;66
1241;1;66
12411;1;66
125;1;976
1251;1;6
12511;1;6
1252;1;160
12521;1;160
1253;1;295
12531;1;295
1254;1;465
12541;1;465
1255;1;50
12551;1;50
126;1;88
1261;1;88
12611;1;88
127;1;242
1271;1;242
1271Z;1;242
128;1;12
1281;1;12
12811;1;12
129;1;0
1291;1;0
12911;1;0
13;1;1695
131;1;721
1314;1;393
13141;1;393
1315;1;20
13151;1;20
1316;1;49
13161;1;49
131A;1;259
131AZ;1;259
132;1;194
132Z;1;194
132ZZ;1;194
133;1;203
1331;1;203
13311;1;203
134;1;138
134Z;1;138
134ZZ;1;138
135;1;440
1351;1;440
13511;1;440
CTOTALE;1;19580
01;2;3397
011;2;2943
0111;2;678
01111;2;28
01112;2;376
01113;2;74
01114;2;146
01115;2;54
0112;2;638
01121;2;150
01122;2;42
01123;2;19
01124;2;113
01125;2;222
01126;2;87
01127;2;4
0113;2;149
01130;2;51
01131;2;11
01132;2;20
01133;2;14
01134;2;53
0114;2;455
01145;2;218
01147;2;32
0114A;2;62
0114B;2;143
0115;2;59
01151;2;26
0115A;2;25
0115B;2;7
0116;2;215
01161;2;35
01162;2;22
01168;2;31
01169;2;5
0116A;2;122
0117;2;332
01175;2;5
01176;2;9
01177;2;39
01178;2;40
01179;2;70
0117A;2;169
0118;2;219
01181;2;9
0118A;2;210
0119;2;199
0119Z;2;199
012;2;305
0121;2;95
01213;2;5
0121A;2;90
0122;2;210
01221;2;50
01222;2;49
0122A;2;111
013;2;148
0131;2;148
0131Z;2;148
02;2;750
021;2;250
0211;2;74
02111;2;74
0212;2;99
0212A;2;99
0213;2;77
02131;2;77
022;2;496
022Z;2;496
022ZZ;2;496
024;2;4
0241;2;4
02411;2;4
03;2;1813
031;2;1292
0311;2;11
03111;2;11
0312;2;1215
0312Z;2;1215
0313;2;52
03131;2;52
0314;2;14
03141;2;14
032;2;368
032Z;2;368
032ZZ;2;368
033;2;153
0331;2;153
0331Z;2;153
04;2;5285
041;2;3383
0411;2;3358
04111;2;3358
0412;2;25
04121;2;25
043;2;96
0431;2;96
0431Z;2;96
044;2;793
0443;2;179
04431;2;179
0444;2;614
04441;2;614
045;2;996
0450;2;118
04500;2;118
0451;2;663
04511;2;663
0452;2;146
0452Z;2;146
0453;2;37
0453Z;2;37
045A;2;32
045AZ;2;32
046;2;17
0461;2;17
04611;2;17
05;2;1489
051;2;593
0511;2;582
0511Z;2;582
051A;2;11
051AZ;2;11
052;2;66
0521;2;66
0521Z;2;66
053;2;226
0531;2;192
0531Z;2;192
0532;2;34
05321;2;34
054;2;78
0541;2;78
0541Z;2;78
055;2;174
0551;2;46
0551Z;2;46
0552;2;128
0552Z;2;128
056;2;317
0561;2;193
0561Z;2;193
0562;2;124
0562Z;2;124
057;2;34
0571;2;34
0571Z;2;34
06;2;467
061;2;229
0611;2;229
0611Z;2;229
062;2;202
0621;2;105
06211;2;105
0622;2;54
06221;2;54
0623;2;43
0623Z;2;43
063;2;33
0631;2;33
06311;2;33
064;2;4
0641;2;4
0641Z;2;4
07;2;5022
071;2;2038
0711;2;1883
0711Z;2;1883
0712;2;119
07121;2;119
0713;2;36
07131;2;36
072;2;1793
0721;2;175
07211;2;175
0722;2;1160
07221;2;1160
0723;2;287
07231;2;287
0724;2;171
0724Z;2;171
073;2;763
0736;2;21
07361;2;21
073Z;2;743
073ZZ;2;743
074;2;427
0741;2;427
0741Z;2;427
