NOMENCLATURE;CSPR;CONSO
01;1;4775
011;1;4347
0111;1;894
01111;1;32
01112;1;630
01113;1;47
01114;1;136
01115;1;48
0112;1;1188
01121;1;284
01122;1;82
01123;1;10
01124;1;144
01125;1;501
01126;1;133
01127;1;34
0113;1;371
01130;1;144
01131;1;27
01132;1;68
01133;1;34
01134;1;98
0114;1;664
01145;1;351
01147;1;31
0114A;1;83
0114B;1;200
0115;1;150
01151;1;81
0115A;1;48
0115B;1;21
0116;1;293
01161;1;55
01162;1;32
01168;1;32
01169;1;11
0116A;1;164
0117;1;384
01175;1;3
01176;1;11
01177;1;71
01178;1;33
01179;1;70
0117A;1;195
0118;1;254
01181;1;20
0118A;1;234
0119;1;149
0119Z;1;149
012;1;297
0121;1;118
01213;1;12
0121A;1;106
0122;1;179
01221;1;55
01222;1;41
0122A;1;83
013;1;131
0131;1;131
0131Z;1;131
02;1;748
021;1;486
0211;1;139
02111;1;139
0212;1;244
0212A;1;244
0213;1;103
02131;1;103
022;1;263
022Z;1;263
022ZZ;1;263
024;1;0
0241;1;0
02411;1;0
03;1;1221
031;1;823
0311;1;0
03111;1;0
0312;1;799
0312Z;1;799
0313;1;21
03131;1;21
0314;1;3
03141;1;3
032;1;255
032Z;1;255
032ZZ;1;255
033;1;143
0331;1;143
0331Z;1;143
04;1;2961
041;1;615
0411;1;515
04111;1;515
0412;1;100
04121;1;100
043;1;93
0431;1;93
0431Z;1;93
044;1;393
0443;1;271
04431;1;271
0444;1;122
04441;1;122
045;1;1594
0450;1;63
04500;1;63
0451;1;891
04511;1;891
0452;1;143
0452Z;1;143
0453;1;425
0453Z;1;425
045A;1;72
045AZ;1;72
046;1;265
0461;1;265
04611;1;265
05;1;1028
051;1;263
0511;1;206
0511Z;1;206
051A;1;57
051AZ;1;57
052;1;12
0521;1;12
0521Z;1;12
053;1;163
0531;1;135
0531Z;1;135
0532;1;28
05321;1;28
054;1;68
0541;1;68
0541Z;1;68
055;1;152
0551;1;85
0551Z;1;85
0552;1;67
0552Z;1;67
056;1;342
0561;1;209
0561Z;1;209
0562;1;133
0562Z;1;133
057;1;28
0571;1;28
0571Z;1;28
06;1;336
061;1;206
0611;1;206
0611Z;1;206
062;1;114
0621;1;42
06211;1;42
0622;1;50
06221;1;50
0623;1;21
0623Z;1;21
063;1;13
0631;1;13
06311;1;13
064;1;3
0641;1;3
0641Z;1;3
07;1;4624
071;1;2065
0711;1;1994
0711Z;1;1994
0712;1;14
07121;1;14
0713;1;57
07131;1;57
072;1;1846
0721;1;47
07211;1;47
0722;1;1406
07221;1;1406
0723;1;285
07231;1;285
0724;1;108
0724Z;1;108
073;1;256
0736;1;1
07361;1;1
073Z;1;255
073ZZ;1;255
074;1;457
0741;1;457
0741Z;1;457
08;1;875
081;1;875
0811;1;13
08111;1;13
0812;1;85
08121;1;85
0813;1;777
08131;1;777
09;1;1971
091;1;228
0911;1;71
0911Z;1;71
0913;1;106
09131;1;106
0914;1;34
09141;1;34
091A;1;17
091AZ;1;17
092;1;20
092Z;1;20
092ZZ;1;20
093;1;381
0931;1;88
0931Z;1;88
0932;1;102
09321;1;102
093A;1;191
093AZ;1;191
094;1;557
0941;1;224
09411;1;224
0942;1;324
0942Z;1;324
0943;1;9
09431;1;9
095;1;204
0951;1;51
09511;1;51
0952;1;95
09521;1;95
