NOMENCLATURE;STRATE;CONSO
01;0;4634
011;0;4135
0111;0;837
01111;0;27
01112;0;542
01113;0;59
01114;0;159
01115;0;50
0112;0;1093
01121;0;268
01122;0;100
01123;0;24
01124;0;175
01125;0;382
01126;0;127
01127;0;16
0113;0;288
01130;0;102
01131;0;18
01132;0;60
01133;0;21
01134;0;86
0114;0;634
01145;0;315
01147;0;42
0114A;0;86
0114B;0;192
0115;0;112
01151;0;55
0115A;0;41
0115B;0;16
0116;0;310
01161;0;60
01162;0;25
01168;0;44
01169;0;7
0116A;0;174
0117;0;417
01175;0;6
01176;0;10
01177;0;56
01178;0;36
01179;0;81
0117A;0;228
0118;0;286
01181;0;19
0118A;0;267
0119;0;157
0119Z;0;157
012;0;346
0121;0;141
01213;0;7
0121A;0;134
0122;0;206
01221;0;64
01222;0;43
0122A;0;99
013;0;153
0131;0;153
0131Z;0;153
02;0;847
021;0;459
0211;0;127
02111;0;127
0212;0;254
0212A;0;254
0213;0;79
02131;0;79
022;0;385
022Z;0;385
022ZZ;0;385
024;0;3
0241;0;3
02411;0;3
03;0;1289
031;0;894
0311;0;6
03111;0;6
0312;0;836
0312Z;0;836
0313;0;40
03131;0;40
0314;0;12
03141;0;12
032;0;281
032Z;0;281
032ZZ;0;281
033;0;114
0331;0;114
0331Z;0;114
04;0;3333
041;0;925
0411;0;853
04111;0;853
0412;0;72
04121;0;72
043;0;223
0431;0;223
0431Z;0;223
044;0;395
0443;0;314
04431;0;314
0444;0;81
04441;0;81
045;0;1714
0450;0;101
04500;0;101
0451;0;987
04511;0;987
0452;0;197
0452Z;0;197
0453;0;294
0453Z;0;294
045A;0;134
045AZ;0;134
046;0;78
0461;0;78
04611;0;78
05;0;1662
051;0;388
0511;0;372
0511Z;0;372
051A;0;15
051AZ;0;15
052;0;71
0521;0;71
0521Z;0;71
053;0;232
0531;0;206
0531Z;0;206
0532;0;26
05321;0;26
054;0;88
0541;0;88
0541Z;0;88
055;0;353
0551;0;179
0551Z;0;179
0552;0;174
0552Z;0;174
056;0;479
0561;0;271
0561Z;0;271
0562;0;209
0562Z;0;209
057;0;53
0571;0;53
0571Z;0;53
06;0;471
061;0;237
0611;0;237
