NOMENCLATURE;TYPMEN;CONSO
01;1;2529
011;1;2224
0111;1;443
01111;1;20
01112;1;280
01113;1;35
01114;1;79
01115;1;30
0112;1;502
01121;1;119
01122;1;34
01123;1;15
01124;1;75
01125;1;175
01126;1;78
01127;1;8
0113;1;183
01130;1;65
01131;1;12
01132;1;34
01133;1;16
01134;1;56
0114;1;316
01145;1;157
01147;1;28
0114A;1;35
0114B;1;96
0115;1;54
01151;1;24
0115A;1;23
0115B;1;7
0116;1;232
01161;1;44
01162;1;18
01168;1;30
01169;1;5
0116A;1;134
0117;1;275
01175;1;5
01176;1;7
01177;1;32
01178;1;29
01179;1;47
0117A;1;155
0118;1;142
01181;1;10
0118A;1;132
0119;1;76
0119Z;1;76
012;1;202
0121;1;82
01213;1;2
0121A;1;80
0122;1;119
01221;1;40
01222;1;25
0122A;1;54
013;1;104
0131;1;104
0131Z;1;104
02;1;588
021;1;256
0211;1;77
02111;1;77
0212;1;135
0212A;1;135
0213;1;45
02131;1;45
022;1;329
022Z;1;329
022ZZ;1;329
024;1;3
0241;1;3
02411;1;3
03;1;729
031;1;505
0311;1;3
03111;1;3
0312;1;466
0312Z;1;466
0313;1;20
03131;1;20
0314;1;16
03141;1;16
032;1;142
032Z;1;142
032ZZ;1;142
033;1;82
0331;1;82
0331Z;1;82
04;1;4190
041;1;2256
0411;1;2252
04111;1;2252
0412;1;4
04121;1;4
043;1;89
0431;1;89
0431Z;1;89
044;1;801
0443;1;143
04431;1;143
0444;1;659
04441;1;659
045;1;1000
0450;1;125
04500;1;125
0451;1;558
04511;1;558
0452;1;191
0452Z;1;191
0453;1;96
0453Z;1;96
045A;1;29
045AZ;1;29
046;1;43
0461;1;43
04611;1;43
05;1;913
051;1;214
0511;1;203
0511Z;1;203
051A;1;11
051AZ;1;11
052;1;65
0521;1;65
0521Z;1;65
053;1;101
0531;1;91
0531Z;1;91
0532;1;10
05321;1;10
054;1;45
0541;1;45
0541Z;1;45
055;1;94
0551;1;31
0551Z;1;31
0552;1;63
0552Z;1;63
056;1;364
0561;1;138
0561Z;1;138
0562;1;225
0562Z;1;225
057;1;30
0571;1;30
0571Z;1;30
06;1;326
061;1;187
0611;1;187
0611Z;1;187
062;1;117
0621;1;49
06211;1;49
0622;1;35
06221;1;35
0623;1;33
0623Z;1;33
063;1;14
0631;1;14
