NOMENCLATURE;DECUC;CONSO
01;1;2863
011;1;2531
0111;1;563
01111;1;31
01112;1;341
01113;1;45
01114;1;105
01115;1;41
0112;1;605
01121;1;160
01122;1;51
01123;1;22
01124;1;109
01125;1;183
01126;1;72
01127;1;8
0113;1;162
01130;1;59
01131;1;13
01132;1;25
01133;1;12
01134;1;53
0114;1;377
01145;1;170
01147;1;32
0114A;1;60
0114B;1;115
0115;1;67
01151;1;28
0115A;1;31
0115B;1;7
0116;1;207
01161;1;36
01162;1;24
01168;1;32
01169;1;3
0116A;1;112
0117;1;309
01175;1;7
01176;1;6
01177;1;38
01178;1;18
01179;1;64
0117A;1;177
0118;1;150
01181;1;14
0118A;1;136
0119;1;91
0119Z;1;91
012;1;241
0121;1;69
01213;1;4
0121A;1;64
0122;1;172
01221;1;36
01222;1;52
0122A;1;84
013;1;92
0131;1;92
0131Z;1;92
02;1;552
021;1;185
0211;1;55
02111;1;55
0212;1;73
0212A;1;73
0213;1;57
02131;1;57
022;1;367
022Z;1;367
022ZZ;1;367
024;1;0
0241;1;0
02411;1;0
03;1;902
031;1;646
0311;1;1
03111;1;1
0312;1;618
0312Z;1;618
0313;1;16
03131;1;16
0314;1;11
03141;1;11
032;1;192
032Z;1;192
032ZZ;1;192
033;1;64
0331;1;64
0331Z;1;64
04;1;3640
041;1;1870
0411;1;1840
04111;1;1840
0412;1;30
04121;1;30
043;1;65
0431;1;65
0431Z;1;65
044;1;728
0443;1;191
04431;1;191
0444;1;537
04441;1;537
045;1;967
0450;1;111
04500;1;111
0451;1;592
04511;1;592
0452;1;159
0452Z;1;159
0453;1;73
0453Z;1;73
045A;1;32
045AZ;1;32
046;1;11
0461;1;11
04611;1;11
05;1;593
051;1;165
0511;1;164
0511Z;1;164
051A;1;2
051AZ;1;2
052;1;23
0521;1;23
0521Z;1;23
053;1;93
0531;1;81
0531Z;1;81
0532;1;12
05321;1;12
054;1;35
0541;1;35
0541Z;1;35
055;1;47
0551;1;16
0551Z;1;16
0552;1;32
0552Z;1;32
056;1;215
0561;1;152
0561Z;1;152
0562;1;63
0562Z;1;63
057;1;14
0571;1;14
0571Z;1;14
06;1;254
061;1;139
0611;1;139
0611Z;1;139
062;1;98
0621;1;42
06211;1;42
0622;1;27
06221;1;27
0623;1;29
0623Z;1;29
063;1;10
0631;1;10
06311;1;10
064;1;7
0641;1;7
0641Z;1;7
07;1;2189
071;1;660
0711;1;617
0711Z;1;617
0712;1;30
07121;1;30
0713;1;13
07131;1;13
072;1;899
0721;1;56
07211;1;56
0722;1;622
07221;1;622
0723;1;151
07231;1;151
0724;1;70
0724Z;1;70
073;1;464
0736;1;7
07361;1;7
073Z;1;457
073ZZ;1;457
074;1;166
0741;1;166
0741Z;1;166
08;1;647
081;1;647
0811;1;12
08111;1;12
0812;1;68
08121;1;68
0813;1;567
08131;1;567
09;1;1255
091;1;167
0911;1;51
0911Z;1;51
0913;1;67
09131;1;67
0914;1;25
09141;1;25
091A;1;25
091AZ;1;25
092;1;5
092Z;1;5
092ZZ;1;5
093;1;319
0931;1;126
0931Z;1;126
0932;1;71
09321;1;71
093A;1;123
093AZ;1;123
094;1;430
0941;1;118
09411;1;118
0942;1;290
0942Z;1;290
0943;1;22
09431;1;22
095;1;155
0951;1;82
09511;1;82
0952;1;32
09521;1;32
0953;1;3
09531;1;3
0954;1;38
09541;1;38
096;1;89
0961;1;89
09611;1;89
097;1;90
0971;1;90
0971Z;1;90
10;1;295
101;1;295
1011;1;11
10111;1;11
1012;1;24
10121;1;24
1013;1;208
10131;1;208
1014;1;42
10141;1;42
1015;1;11
1015Z;1;11
11;1;851
111;1;763
1111;1;424
11111;1;150
11112;1;274
1112;1;258
11121;1;258
1113;1;81
1113Z;1;81
112;1;88
1121;1;88
11211;1;88
12;1;2082
121;1;392
1211;1;173
12111;1;173
1212;1;219
1212Z;1;219
123;1;90
1231;1;40
12311;1;40
1232;1;29
1232Z;1;29
1233;1;21
12331;1;21
124;1;41
1241;1;41
12411;1;41
125;1;1221
1251;1;21
12511;1;21
1252;1;258
12521;1;258
1253;1;493
12531;1;493
1254;1;374
12541;1;374
1255;1;74
12551;1;74
126;1;108
1261;1;108
12611;1;108
127;1;212
1271;1;212
1271Z;1;212
128;1;7
1281;1;7
12811;1;7
129;1;11
1291;1;11
12911;1;11
13;1;2371
131;1;665
1314;1;201
13141;1;201
1315;1;6
13151;1;6
1316;1;26
13161;1;26
131A;1;432
131AZ;1;432
132;1;674
132Z;1;674
132ZZ;1;674
133;1;369
1331;1;369
13311;1;369
134;1;322
134Z;1;322
134ZZ;1;322
135;1;340
1351;1;340
13511;1;340
CTOTALE;1;16123
01;10;6559
011;10;5735
0111;10;1026
01111;10;35
01112;10;665
01113;10;84
01114;10;172
01115;10;69
0112;10;1302
01121;10;372
01122;10;82
01123;10;41
01124;10;222
01125;10;422
01126;10;149
01127;10;15
0113;10;583
01130;10;236
01131;10;28
01132;10;119
01133;10;49
01134;10;150
0114;10;822
01145;10;442
01147;10;66
0114A;10;82
0114B;10;231
0115;10;112
01151;10;48
0115A;10;53
0115B;10;10
0116;10;596
01161;10;113
01162;10;33
01168;10;87
01169;10;10
0116A;10;353
0117;10;716
01175;10;13
01176;10;20
01177;10;69
01178;10;69
01179;10;102
0117A;10;443
0118;10;358
01181;10;17
0118A;10;340
0119;10;222
0119Z;10;222
012;10;495
0121;10;227
01213;10;5
0121A;10;222
0122;10;268
01221;10;91
01222;10;44
0122A;10;133
013;10;329
0131;10;329
0131Z;10;329
02;10;1086
021;10;703
0211;10;116
02111;10;116
0212;10;513
0212A;10;513
0213;10;74
02131;10;74
022;10;371
022Z;10;371
022ZZ;10;371
024;10;11
0241;10;11
02411;10;11
03;10;2344
031;10;1596
0311;10;5
03111;10;5
0312;10;1441
0312Z;10;1441
0313;10;84
03131;10;84
0314;10;67
03141;10;67
032;10;473
032Z;10;473
032ZZ;10;473
033;10;275
0331;10;275
0331Z;10;275
04;10;5788
041;10;2074
0411;10;1987
04111;10;1987
0412;10;87
04121;10;87
043;10;306
0431;10;306
0431Z;10;306
044;10;1216
0443;10;344
04431;10;344
0444;10;872
04441;10;872
045;10;1925
0450;10;394
04500;10;394
0451;10;957
04511;10;957
0452;10;386
0452Z;10;386
0453;10;129
0453Z;10;129
045A;10;59
045AZ;10;59
046;10;267
0461;10;267
04611;10;267
05;10;3889
051;10;935
0511;10;912
0511Z;10;912
051A;10;23
051AZ;10;23
052;10;215
0521;10;215
0521Z;10;215
053;10;307
0531;10;260
0531Z;10;260
0532;10;47
05321;10;47
054;10;129
0541;10;129
0541Z;10;129
055;10;509
0551;10;191
0551Z;10;191
0552;10;318
0552Z;10;318
056;10;1661
0561;10;318
0561Z;10;318
0562;10;1344
0562Z;10;1344
057;10;133
0571;10;133
0571Z;10;133
06;10;768
061;10;410
0611;10;410
0611Z;10;410
062;10;301
0621;10;122
06211;10;122
0622;10;86
06221;10;86
0623;10;92
0623Z;10;92
063;10;37
0631;10;37
06311;10;37
064;10;21
0641;10;21
0641Z;10;21
07;10;8813
071;10;4251
0711;10;4055
0711Z;10;4055
0712;10;134
07121;10;134
0713;10;62
07131;10;62
072;10;2274
0721;10;185
07211;10;185
0722;10;1375
07221;10;1375
0723;10;412
07231;10;412
0724;10;302
0724Z;10;302
073;10;1278
0736;10;46
07361;10;46
073Z;10;1232
073ZZ;10;1232
074;10;1010
0741;10;1010
0741Z;10;1010
08;10;894
081;10;894
0811;10;34
08111;10;34
0812;10;119
08121;10;119
0813;10;741
08131;10;741
09;10;5326
091;10;482
0911;10;168
0911Z;10;168
0913;10;178
09131;10;178
0914;10;85
09141;10;85
091A;10;51
091AZ;10;51
092;10;119
092Z;10;119
092ZZ;10;119
093;10;661
0931;10;211
0931Z;10;211
0932;10;261
09321;10;261
093A;10;188
093AZ;10;188
094;10;1638
0941;10;800
09411;10;800
0942;10;799
0942Z;10;799
0943;10;38
09431;10;38
095;10;650
0951;10;291
09511;10;291
0952;10;206
09521;10;206
0953;10;25
09531;10;25
0954;10;129
09541;10;129
096;10;1171
0961;10;1171
09611;10;1171
097;10;604
0971;10;604
0971Z;10;604
10;10;472
101;10;472
1011;10;55
10111;10;55
1012;10;35
10121;10;35
1013;10;184
10131;10;184
1014;10;70
10141;10;70
1015;10;129
1015Z;10;129
11;10;4928
111;10;3857
1111;10;2499
11111;10;1691
11112;10;808
1112;10;615
11121;10;615
1113;10;744
1113Z;10;744
112;10;1071
1121;10;1071
11211;10;1071
12;10;7485
121;10;1250
1211;10;612
12111;10;612
1212;10;638
1212Z;10;638
123;10;420
1231;10;175
12311;10;175
1232;10;140
1232Z;10;140
1233;10;104
12331;10;104
124;10;591
1241;10;591
12411;10;591
125;10;3355
1251;10;52
12511;10;52
1252;10;546
12521;10;546
1253;10;1499
12531;10;1499
1254;10;937
12541;10;937
1255;10;322
12551;10;322
126;10;196
1261;10;196
12611;10;196
127;10;1591
1271;10;1591
1271Z;10;1591
128;10;42
1281;10;42
12811;10;42
129;10;40
1291;10;40
12911;10;40
13;10;30468
131;10;14367
1314;10;11578
13141;10;11578
1315;10;74
13151;10;74
1316;10;241
13161;10;241
131A;10;2473
131AZ;10;2473
132;10;7400
132Z;10;7400
132ZZ;10;7400
133;10;2654
1331;10;2654
13311;10;2654
134;10;4186
134Z;10;4186
134ZZ;10;4186
135;10;1861
1351;10;1861
13511;10;1861
CTOTALE;10;48353
01;2;3436
011;2;3061
0111;2;655
01111;2;30
01112;2;407
01113;2;50
01114;2;120
01115;2;47
0112;2;772
01121;2;194
01122;2;53
01123;2;49
01124;2;141
01125;2;237
01126;2;88
01127;2;10
0113;2;184
01130;2;68
01131;2;13
01132;2;29
01133;2;9
01134;2;65
0114;2;445
01145;2;205
01147;2;35
0114A;2;70
0114B;2;135
0115;2;80
01151;2;33
0115A;2;33
0115B;2;14
0116;2;242
01161;2;41
01162;2;25
01168;2;38
01169;2;3
0116A;2;134
0117;2;363
01175;2;8
01176;2;7
01177;2;47
01178;2;27
01179;2;78
0117A;2;197
0118;2;204
01181;2;14
0118A;2;190
0119;2;118
0119Z;2;118
012;2;274
0121;2;81
01213;2;8
0121A;2;73
0122;2;193
01221;2;50
01222;2;56
0122A;2;87
013;2;100
0131;2;100
0131Z;2;100
02;2;620
021;2;204
0211;2;67
02111;2;67
0212;2;94
0212A;2;94
0213;2;43
02131;2;43
022;2;416
022Z;2;416
022ZZ;2;416
024;2;0
0241;2;0
02411;2;0
03;2;993
031;2;703
0311;2;2
03111;2;2
0312;2;668
0312Z;2;668
0313;2;24
03131;2;24
0314;2;9
03141;2;9
032;2;223
032Z;2;223
032ZZ;2;223
033;2;67
0331;2;67
0331Z;2;67
04;2;3974
041;2;1936
0411;2;1917
04111;2;1917
0412;2;18
04121;2;18
043;2;53
0431;2;53
0431Z;2;53
044;2;834
0443;2;207
04431;2;207
0444;2;627
04441;2;627
045;2;1123
0450;2;127
04500;2;127
0451;2;635
04511;2;635
0452;2;209
0452Z;2;209
0453;2;110
0453Z;2;110
045A;2;42
045AZ;2;42
046;2;29
0461;2;29
04611;2;29
05;2;773
051;2;207
0511;2;204
0511Z;2;204
051A;2;2
051AZ;2;2
052;2;44
0521;2;44
0521Z;2;44
053;2;113
0531;2;102
0531Z;2;102
0532;2;12
05321;2;12
054;2;38
0541;2;38
0541Z;2;38
055;2;105
0551;2;41
0551Z;2;41
0552;2;65
0552Z;2;65
056;2;247
0561;2;205
0561Z;2;205
0562;2;42
0562Z;2;42
057;2;18
0571;2;18
0571Z;2;18
06;2;323
061;2;180
0611;2;180
0611Z;2;180
062;2;124
0621;2;53
06211;2;53
0622;2;39
06221;2;39
0623;2;32
0623Z;2;32
063;2;16
0631;2;16
06311;2;16
064;2;3
0641;2;3
0641Z;2;3
07;2;2502
071;2;812
0711;2;771
0711Z;2;771
0712;2;27
07121;2;27
0713;2;14
07131;2;14
072;2;1155
0721;2;97
07211;2;97
0722;2;754
07221;2;754
0723;2;214
07231;2;214
0724;2;90
0724Z;2;90
073;2;356
0736;2;5
07361;2;5
073Z;2;351
073ZZ;2;351
074;2;180
0741;2;180
0741Z;2;180
08;2;657
081;2;657
0811;2;15
08111;2;15
0812;2;70
08121;2;70
0813;2;573
08131;2;573
09;2;1233
091;2;154
0911;2;65
0911Z;2;65
0913;2;56
09131;2;56
0914;2;26
09141;2;26
091A;2;6
091AZ;2;6
092;2;15
092Z;2;15
092ZZ;2;15
093;2;275
0931;2;101
0931Z;2;101
0932;2;61
09321;2;61
093A;2;113
093AZ;2;113
094;2;436
0941;2;131
09411;2;131
0942;2;282
0942Z;2;282
0943;2;23
09431;2;23
095;2;174
0951;2;53
09511;2;53
0952;2;76
09521;2;76
0953;2;7
09531;2;7
0954;2;38
09541;2;38
096;2;93
0961;2;93
09611;2;93
097;2;87
0971;2;87
0971Z;2;87
10;2;230
101;2;230
1011;2;36
10111;2;36
1012;2;25
10121;2;25
1013;2;121
10131;2;121
1014;2;9
10141;2;9
1015;2;39
1015Z;2;39
11;2;939
111;2;792
1111;2;433
11111;2;184
11112;2;249
1112;2;277
11121;2;277
1113;2;82
1113Z;2;82
112;2;147
1121;2;147
11211;2;147
12;2;2641
121;2;463
1211;2;180
12111;2;180
1212;2;282
1212Z;2;282
123;2;74
1231;2;14
12311;2;14
1232;2;39
1232Z;2;39
1233;2;21
12331;2;21
124;2;94
1241;2;94
12411;2;94
125;2;1665
1251;2;30
12511;2;30
1252;2;305
12521;2;305
1253;2;784
12531;2;784
1254;2;457
12541;2;457
1255;2;89
12551;2;89
126;2;124
1261;2;124
12611;2;124
127;2;201
1271;2;201
1271Z;2;201
128;2;10
1281;2;10
12811;2;10
129;2;11
1291;2;11
12911;2;11
13;2;2789
131;2;625
1314;2;130
13141;2;130
1315;2;26
13151;2;26
1316;2;11
13161;2;11
131A;2;457
131AZ;2;457
132;2;738
132Z;2;738
132ZZ;2;738
133;2;334
1331;2;334
13311;2;334
134;2;547
134Z;2;547
134ZZ;2;547
135;2;545
1351;2;545
13511;2;545
CTOTALE;2;18322
01;3;3539
011;3;3148
0111;3;679
01111;3;26
01112;3;431
01113;3;51
01114;3;122
01115;3;48
0112;3;784
01121;3;201
01122;3;71
01123;3;22
01124;3;123
01125;3;277
01126;3;84
01127;3;6
0113;3;198
01130;3;74
01131;3;11
01132;3;35
01133;3;15
01134;3;63
0114;3;473
01145;3;209
01147;3;37
0114A;3;77
0114B;3;150
0115;3;79
01151;3;39
0115A;3;27
0115B;3;13
0116;3;247
01161;3;42
01162;3;25
01168;3;34
01169;3;4
0116A;3;142
0117;3;363
01175;3;6
01176;3;11
01177;3;44
01178;3;26
01179;3;74
0117A;3;202
0118;3;205
01181;3;16
0118A;3;190
0119;3;121
0119Z;3;121
012;3;292
0121;3;97
01213;3;5
0121A;3;92
0122;3;195
01221;3;58
01222;3;49
0122A;3;88
013;3;99
0131;3;99
0131Z;3;99
02;3;710
021;3;293
0211;3;104
02111;3;104
0212;3;138
0212A;3;138
0213;3;51
02131;3;51
022;3;414
022Z;3;414
022ZZ;3;414
024;3;2
0241;3;2
02411;3;2
03;3;1018
031;3;711
0311;3;1
03111;3;1
0312;3;680
0312Z;3;680
0313;3;26
03131;3;26
0314;3;3
03141;3;3
032;3;222
032Z;3;222
032ZZ;3;222
033;3;85
0331;3;85
0331Z;3;85
04;3;4194
041;3;2128
0411;3;2114
04111;3;2114
0412;3;14
04121;3;14
043;3;78
0431;3;78
0431Z;3;78
044;3;775
0443;3;230
04431;3;230
0444;3;545
04441;3;545
045;3;1193
0450;3;146
04500;3;146
0451;3;640
04511;3;640
0452;3;251
0452Z;3;251
0453;3;102
0453Z;3;102
045A;3;54
045AZ;3;54
046;3;20
0461;3;20
04611;3;20
05;3;1013
051;3;276
0511;3;268
0511Z;3;268
051A;3;8
051AZ;3;8
052;3;52
0521;3;52
0521Z;3;52
053;3;187
0531;3;175
0531Z;3;175
0532;3;12
05321;3;12
054;3;54
0541;3;54
0541Z;3;54
055;3;129
0551;3;48
0551Z;3;48
0552;3;81
0552Z;3;81
056;3;287
0561;3;196
0561Z;3;196
0562;3;91
0562Z;3;91
057;3;28
0571;3;28
0571Z;3;28
06;3;393
061;3;187
0611;3;187
0611Z;3;187
062;3;179
0621;3;77
06211;3;77
0622;3;54
06221;3;54
0623;3;47
0623Z;3;47
063;3;24
0631;3;24
06311;3;24
064;3;4
0641;3;4
0641Z;3;4
07;3;2725
071;3;1021
0711;3;960
0711Z;3;960
0712;3;46
07121;3;46
0713;3;15
07131;3;15
072;3;1270
0721;3;95
07211;3;95
0722;3;868
07221;3;868
0723;3;235
07231;3;235
0724;3;71
0724Z;3;71
073;3;257
0736;3;6
07361;3;6
073Z;3;251
073ZZ;3;251
074;3;178
0741;3;178
0741Z;3;178
08;3;654
081;3;654
0811;3;18
08111;3;18
0812;3;63
08121;3;63
0813;3;573
08131;3;573
09;3;1478
091;3;162
0911;3;58
0911Z;3;58
0913;3;66
09131;3;66
0914;3;30
09141;3;30
091A;3;10
091AZ;3;10
092;3;58
092Z;3;58
092ZZ;3;58
093;3;329
0931;3;138
0931Z;3;138
0932;3;75
09321;3;75
093A;3;116
093AZ;3;116
094;3;523
0941;3;184
09411;3;184
0942;3;312
0942Z;3;312
0943;3;26
09431;3;26
095;3;197
0951;3;68
09511;3;68
0952;3;76
09521;3;76
0953;3;6
09531;3;6
0954;3;48
09541;3;48
096;3;107
0961;3;107
09611;3;107
097;3;101
0971;3;101
0971Z;3;101
10;3;93
101;3;93
1011;3;11
10111;3;11
1012;3;19
10121;3;19
1013;3;36
10131;3;36
1014;3;16
10141;3;16
1015;3;11
1015Z;3;11
11;3;1000
111;3;876
1111;3;536
11111;3;250
11112;3;286
1112;3;247
11121;3;247
1113;3;92
1113Z;3;92
112;3;125
1121;3;125
11211;3;125
12;3;3253
121;3;520
1211;3;224
12111;3;224
1212;3;296
1212Z;3;296
123;3;99
1231;3;22
12311;3;22
1232;3;42
1232Z;3;42
1233;3;35
12331;3;35
124;3;169
1241;3;169
12411;3;169
125;3;1923
1251;3;35
12511;3;35
1252;3;320
12521;3;320
1253;3;942
12531;3;942
1254;3;538
12541;3;538
1255;3;87
12551;3;87
126;3;127
1261;3;127
12611;3;127
127;3;392
1271;3;392
1271Z;3;392
128;3;8
1281;3;8
12811;3;8
129;3;16
1291;3;16
12911;3;16
13;3;3783
131;3;1002
1314;3;223
13141;3;223
1315;3;47
13151;3;47
1316;3;88
13161;3;88
131A;3;643
131AZ;3;643
132;3;1113
132Z;3;1113
132ZZ;3;1113
133;3;337
1331;3;337
13311;3;337
134;3;677
134Z;3;677
134ZZ;3;677
135;3;655
1351;3;655
13511;3;655
CTOTALE;3;20071
01;4;4098
011;4;3672
0111;4;734
01111;4;28
01112;4;461
01113;4;56
01114;4;144
01115;4;43
0112;4;970
01121;4;266
01122;4;83
01123;4;29
01124;4;147
01125;4;328
01126;4;106
01127;4;11
0113;4;251
01130;4;105
01131;4;15
01132;4;46
01133;4;17
01134;4;69
0114;4;542
01145;4;254
01147;4;39
0114A;4;80
0114B;4;169
0115;4;91
01151;4;45
0115A;4;32
0115B;4;14
0116;4;291
01161;4;54
01162;4;31
01168;4;36
01169;4;8
0116A;4;161
0117;4;386
01175;4;4
01176;4;15
01177;4;46
01178;4;34
01179;4;79
0117A;4;208
0118;4;254
01181;4;18
0118A;4;237
0119;4;152
0119Z;4;152
012;4;313
0121;4;111
01213;4;5
0121A;4;106
0122;4;202
01221;4;58
01222;4;47
0122A;4;97
013;4;113
0131;4;113
0131Z;4;113
02;4;760
021;4;333
0211;4;104
02111;4;104
0212;4;162
0212A;4;162
0213;4;67
02131;4;67
022;4;421
022Z;4;421
022ZZ;4;421
024;4;6
0241;4;6
02411;4;6
03;4;1043
031;4;735
0311;4;2
03111;4;2
0312;4;688
0312Z;4;688
0313;4;41
03131;4;41
0314;4;4
03141;4;4
032;4;225
032Z;4;225
032ZZ;4;225
033;4;83
0331;4;83
0331Z;4;83
04;4;4375
041;4;2210
0411;4;2168
04111;4;2168
0412;4;42
04121;4;42
043;4;81
0431;4;81
0431Z;4;81
044;4;757
0443;4;237
04431;4;237
0444;4;519
04441;4;519
045;4;1279
0450;4;146
04500;4;146
0451;4;683
04511;4;683
0452;4;237
0452Z;4;237
0453;4;157
0453Z;4;157
045A;4;57
045AZ;4;57
046;4;48
0461;4;48
04611;4;48
05;4;997
051;4;236
0511;4;221
0511Z;4;221
051A;4;15
051AZ;4;15
052;4;51
0521;4;51
0521Z;4;51
053;4;173
0531;4;158
0531Z;4;158
0532;4;14
05321;4;14
054;4;70
0541;4;70
0541Z;4;70
055;4;138
0551;4;49
0551Z;4;49
0552;4;89
0552Z;4;89
056;4;308
0561;4;225
0561Z;4;225
0562;4;83
0562Z;4;83
057;4;22
0571;4;22
0571Z;4;22
06;4;413
061;4;209
0611;4;209
0611Z;4;209
062;4;185
0621;4;99
06211;4;99
0622;4;46
06221;4;46
0623;4;41
0623Z;4;41
063;4;17
0631;4;17
06311;4;17
064;4;2
0641;4;2
0641Z;4;2
07;4;3482
071;4;1453
0711;4;1363
