NOMENCLATURE;STATUT;CONSO
01;P1;3648
011;P1;3271
0111;P1;687
01111;P1;34
01112;P1;450
01113;P1;47
01114;P1;111
01115;P1;45
0112;P1;827
01121;P1;211
01122;P1;70
01123;P1;32
01124;P1;149
01125;P1;262
01126;P1;89
01127;P1;14
0113;P1;239
01130;P1;96
01131;P1;21
01132;P1;36
01133;P1;15
01134;P1;72
0114;P1;474
01145;P1;231
01147;P1;36
0114A;P1;65
0114B;P1;142
0115;P1;91
01151;P1;42
0115A;P1;35
0115B;P1;14
0116;P1;275
01161;P1;52
01162;P1;26
01168;P1;38
01169;P1;4
0116A;P1;156
0117;P1;380
01175;P1;8
01176;P1;7
01177;P1;47
01178;P1;27
01179;P1;68
0117A;P1;223
0118;P1;198
01181;P1;16
0118A;P1;182
0119;P1;98
0119Z;P1;98
012;P1;274
0121;P1;87
01213;P1;7
0121A;P1;80
0122;P1;187
01221;P1;53
01222;P1;51
0122A;P1;84
013;P1;103
0131;P1;103
0131Z;P1;103
02;P1;620
021;P1;252
0211;P1;81
02111;P1;81
0212;P1;122
0212A;P1;122
0213;P1;49
02131;P1;49
022;P1;368
022Z;P1;368
022ZZ;P1;368
024;P1;0
0241;P1;0
02411;P1;0
03;P1;878
031;P1;620
0311;P1;2
03111;P1;2
0312;P1;591
0312Z;P1;591
0313;P1;20
03131;P1;20
0314;P1;6
03141;P1;6
032;P1;181
032Z;P1;181
032ZZ;P1;181
033;P1;77
0331;P1;77
0331Z;P1;77
04;P1;2083
041;P1;36
0411;P1;9
04111;P1;9
0412;P1;27
04121;P1;27
043;P1;93
0431;P1;93
0431Z;P1;93
044;P1;562
0443;P1;275
04431;P1;275
0444;P1;287
04441;P1;287
045;P1;1355
0450;P1;105
04500;P1;105
0451;P1;768
04511;P1;768
0452;P1;200
0452Z;P1;200
0453;P1;200
0453Z;P1;200
045A;P1;83
045AZ;P1;83
046;P1;37
0461;P1;37
04611;P1;37
05;P1;926
051;P1;246
0511;P1;243
0511Z;P1;243
051A;P1;3
051AZ;P1;3
052;P1;38
0521;P1;38
0521Z;P1;38
053;P1;126
0531;P1;112
0531Z;P1;112
0532;P1;14
05321;P1;14
054;P1;45
0541;P1;45
0541Z;P1;45
055;P1;137
0551;P1;61
0551Z;P1;61
0552;P1;76
0552Z;P1;76
056;P1;312
0561;P1;199
0561Z;P1;199
0562;P1;113
0562Z;P1;113
057;P1;23
0571;P1;23
0571Z;P1;23
06;P1;342
061;P1;181
0611;P1;181
0611Z;P1;181
062;P1;136
0621;P1;60
06211;P1;60
0622;P1;43
06221;P1;43
0623;P1;33
0623Z;P1;33
063;P1;20
0631;P1;20
06311;P1;20
064;P1;6
0641;P1;6
0641Z;P1;6
07;P1;3120
071;P1;1176
0711;P1;1103
0711Z;P1;1103
0712;P1;55
07121;P1;55
0713;P1;18
07131;P1;18
072;P1;1381
0721;P1;93
07211;P1;93
0722;P1;977
07221;P1;977
0723;P1;245
07231;P1;245
0724;P1;67
0724Z;P1;67
073;P1;369
0736;P1;2
07361;P1;2
073Z;P1;367
073ZZ;P1;367
074;P1;194
0741;P1;194
0741Z;P1;194
08;P1;655
081;P1;655
0811;P1;14
08111;P1;14
0812;P1;52
08121;P1;52
0813;P1;589
08131;P1;589
09;P1;1477
091;P1;127
0911;P1;46
0911Z;P1;46
0913;P1;51
09131;P1;51
0914;P1;18
09141;P1;18
091A;P1;11
091AZ;P1;11
092;P1;19
092Z;P1;19
092ZZ;P1;19
093;P1;366
0931;P1;83
0931Z;P1;83
0932;P1;102
09321;P1;102
093A;P1;180
093AZ;P1;180
094;P1;478
0941;P1;157
09411;P1;157
0942;P1;303
0942Z;P1;303
0943;P1;18
09431;P1;18
095;P1;222
0951;P1;60
09511;P1;60
0952;P1;103
09521;P1;103
0953;P1;8
09531;P1;8
0954;P1;51
09541;P1;51
096;P1;153
0961;P1;153
09611;P1;153
097;P1;113
0971;P1;113
0971Z;P1;113
10;P1;323
101;P1;323
1011;P1;33
10111;P1;33
1012;P1;38
10121;P1;38
1013;P1;166
10131;P1;166
1014;P1;20
10141;P1;20
1015;P1;66
1015Z;P1;66
11;P1;1036
111;P1;858
1111;P1;436
11111;P1;200
11112;P1;237
1112;P1;311
11121;P1;311
1113;P1;111
1113Z;P1;111
112;P1;178
1121;P1;178
11211;P1;178
12;P1;3250
121;P1;467
1211;P1;206
12111;P1;206
1212;P1;261
1212Z;P1;261
123;P1;88
1231;P1;32
12311;P1;32
1232;P1;29
1232Z;P1;29
1233;P1;26
12331;P1;26
124;P1;76
1241;P1;76
12411;P1;76
125;P1;2092
1251;P1;33
12511;P1;33
1252;P1;373
12521;P1;373
1253;P1;974
12531;P1;974
1254;P1;589
12541;P1;589
1255;P1;123
12551;P1;123
126;P1;130
1261;P1;130
12611;P1;130
127;P1;362
1271;P1;362
1271Z;P1;362
128;P1;10
1281;P1;10
12811;P1;10
129;P1;24
1291;P1;24
12911;P1;24
13;P1;5145
131;P1;1298
1314;P1;361
13141;P1;361
1315;P1;8
13151;P1;8
1316;P1;16
13161;P1;16
131A;P1;913
131AZ;P1;913
132;P1;1811
132Z;P1;1811
132ZZ;P1;1811
133;P1;492
1331;P1;492
13311;P1;492
134;P1;1060
134Z;P1;1060
134ZZ;P1;1060
135;P1;483
1351;P1;483
13511;P1;483
CTOTALE;P1;18361
01;P2;4404
011;P2;3976
0111;P2;791
01111;P2;29
01112;P2;515
01113;P2;58
01114;P2;147
01115;P2;42
0112;P2;1052
01121;P2;286
01122;P2;106
01123;P2;21
01124;P2;150
01125;P2;369
01126;P2;109
01127;P2;12
0113;P2;285
01130;P2;118
01131;P2;14
01132;P2;49
01133;P2;20
01134;P2;83
0114;P2;600
01145;P2;284
01147;P2;42
0114A;P2;91
0114B;P2;183
0115;P2;105
01151;P2;53
0115A;P2;34
0115B;P2;18
0116;P2;297
01161;P2;58
01162;P2;30
01168;P2;41
01169;P2;7
0116A;P2;160
0117;P2;419
01175;P2;6
01176;P2;14
01177;P2;52
01178;P2;33
01179;P2;83
0117A;P2;231
0118;P2;276
01181;P2;21
0118A;P2;256
0119;P2;150
0119Z;P2;150
012;P2;316
0121;P2;114
01213;P2;7
0121A;P2;107
0122;P2;202
01221;P2;65
01222;P2;45
0122A;P2;92
013;P2;112
0131;P2;112
0131Z;P2;112
02;P2;752
021;P2;395
0211;P2;121
02111;P2;121
0212;P2;205
0212A;P2;205
0213;P2;69
02131;P2;69
022;P2;353
022Z;P2;353
022ZZ;P2;353
024;P2;4
0241;P2;4
02411;P2;4
03;P2;957
031;P2;661
0311;P2;2
03111;P2;2
0312;P2;615
0312Z;P2;615
0313;P2;39
03131;P2;39
0314;P2;5
03141;P2;5
032;P2;210
032Z;P2;210
032ZZ;P2;210
033;P2;86
0331;P2;86
0331Z;P2;86
04;P2;2296
041;P2;57
0411;P2;9
04111;P2;9
0412;P2;48
04121;P2;48
043;P2;128
0431;P2;128
0431Z;P2;128
044;P2;570
0443;P2;300
04431;P2;300
0444;P2;270
04441;P2;270
045;P2;1504
0450;P2;145
04500;P2;145
0451;P2;771
04511;P2;771
0452;P2;270
0452Z;P2;270
0453;P2;223
0453Z;P2;223
045A;P2;94
045AZ;P2;94
046;P2;37
0461;P2;37
04611;P2;37
05;P2;1219
051;P2;281
0511;P2;269
0511Z;P2;269
051A;P2;13
051AZ;P2;13
052;P2;63
0521;P2;63
0521Z;P2;63
053;P2;225
0531;P2;211
0531Z;P2;211
0532;P2;14
05321;P2;14
054;P2;63
0541;P2;63
0541Z;P2;63
055;P2;207
0551;P2;76
0551Z;P2;76
0552;P2;132
0552Z;P2;132
056;P2;353
0561;P2;234
0561Z;P2;234
0562;P2;119
0562Z;P2;119
057;P2;27
0571;P2;27
0571Z;P2;27
06;P2;493
061;P2;247
0611;P2;247
0611Z;P2;247
062;P2;222
0621;P2;108
06211;P2;108
0622;P2;69
06221;P2;69
0623;P2;45
0623Z;P2;45
063;P2;20
0631;P2;20
06311;P2;20
064;P2;3
0641;P2;3
0641Z;P2;3
07;P2;3529
071;P2;1522
0711;P2;1465
0711Z;P2;1465
0712;P2;32
07121;P2;32
0713;P2;26
07131;P2;26
072;P2;1582
0721;P2;128
07211;P2;128
0722;P2;1107
07221;P2;1107
0723;P2;277
07231;P2;277
0724;P2;69
0724Z;P2;69
073;P2;220
0736;P2;7
07361;P2;7
073Z;P2;213
073ZZ;P2;213
074;P2;205
0741;P2;205
0741Z;P2;205
08;P2;678
081;P2;678
0811;P2;18
08111;P2;18
0812;P2;60
08121;P2;60
0813;P2;599
08131;P2;599
09;P2;1850
091;P2;172
0911;P2;58
0911Z;P2;58
0913;P2;67
09131;P2;67
0914;P2;38
09141;P2;38
091A;P2;9
091AZ;P2;9
092;P2;66
092Z;P2;66
092ZZ;P2;66
093;P2;362
0931;P2;97
0931Z;P2;97
0932;P2;119
09321;P2;119
093A;P2;146
093AZ;P2;146
094;P2;609
0941;P2;207
09411;P2;207
0942;P2;362
0942Z;P2;362
0943;P2;40
09431;P2;40
095;P2;318
0951;P2;92
09511;P2;92
0952;P2;134
09521;P2;134
0953;P2;12
09531;P2;12
0954;P2;79
09541;P2;79
096;P2;181
0961;P2;181
09611;P2;181
097;P2;143
0971;P2;143
0971Z;P2;143
10;P2;136
101;P2;136
1011;P2;10
10111;P2;10
1012;P2;25
10121;P2;25
1013;P2;74
10131;P2;74
1014;P2;17
10141;P2;17
1015;P2;10
1015Z;P2;10
11;P2;1241
111;P2;1056
1111;P2;608
11111;P2;317
11112;P2;291
1112;P2;309
11121;P2;309
1113;P2;139
1113Z;P2;139
112;P2;185
1121;P2;185
11211;P2;185
12;P2;4011
121;P2;617
1211;P2;271
12111;P2;271
1212;P2;345
1212Z;P2;345
123;P2;102
1231;P2;28
12311;P2;28
1232;P2;41
1232Z;P2;41
1233;P2;32
12331;P2;32
124;P2;140
1241;P2;140
12411;P2;140
125;P2;2474
1251;P2;46
12511;P2;46
1252;P2;395
12521;P2;395
1253;P2;1251
12531;P2;1251
1254;P2;656
12541;P2;656
1255;P2;126
12551;P2;126
126;P2;142
1261;P2;142
12611;P2;142
127;P2;496
1271;P2;496
1271Z;P2;496
128;P2;14
1281;P2;14
12811;P2;14
129;P2;26
1291;P2;26
12911;P2;26
13;P2;6539
131;P2;1586
1314;P2;339
13141;P2;339
1315;P2;22
13151;P2;22
1316;P2;66
13161;P2;66
131A;P2;1160
131AZ;P2;1160
132;P2;2383
132Z;P2;2383
132ZZ;P2;2383
133;P2;501
1331;P2;501
13311;P2;501
134;P2;1279
134Z;P2;1279
134ZZ;P2;1279
135;P2;790
1351;P2;790
13511;P2;790
CTOTALE;P2;21565
01;P3;4743
011;P3;4222
0111;P3;855
01111;P3;27
01112;P3;559
01113;P3;59
01114;P3;155
01115;P3;54
0112;P3;1086
01121;P3;277
01122;P3;94
01123;P3;24
01124;P3;181
01125;P3;369
01126;P3;127
01127;P3;15
0113;P3;317
01130;P3;118
01131;P3;21
01132;P3;69
01133;P3;23
01134;P3;87
0114;P3;632
01145;P3;313
01147;P3;47
0114A;P3;83
0114B;P3;190
0115;P3;107
01151;P3;50
0115A;P3;41
0115B;P3;16
0116;P3;321
01161;P3;63
01162;P3;27
01168;P3;45
01169;P3;11
0116A;P3;176
0117;P3;450
01175;P3;7
01176;P3;12
01177;P3;54
01178;P3;41
01179;P3;89
0117A;P3;247
0118;P3;296
01181;P3;16
0118A;P3;279
0119;P3;158
0119Z;P3;158
012;P3;349
0121;P3;131
01213;P3;7
0121A;P3;124
0122;P3;218
01221;P3;74
01222;P3;45
0122A;P3;99
013;P3;172
0131;P3;172
0131Z;P3;172
02;P3;778
021;P3;447
0211;P3;103
02111;P3;103
0212;P3;275
0212A;P3;275
0213;P3;69
02131;P3;69
022;P3;329
022Z;P3;329
022ZZ;P3;329
024;P3;2
0241;P3;2
02411;P3;2
03;P3;1154
031;P3;797
0311;P3;8
03111;P3;8
0312;P3;750
0312Z;P3;750
0313;P3;32
03131;P3;32
0314;P3;7
03141;P3;7
032;P3;256
032Z;P3;256
032ZZ;P3;256
033;P3;101
0331;P3;101
0331Z;P3;101
04;P3;2598
041;P3;78
0411;P3;11
04111;P3;11
0412;P3;68
04121;P3;68
043;P3;335
0431;P3;335
0431Z;P3;335
044;P3;585
0443;P3;316
04431;P3;316
0444;P3;269
04441;P3;269
045;P3;1558
0450;P3;146
04500;P3;146
0451;P3;841
04511;P3;841
0452;P3;285
0452Z;P3;285
0453;P3;193
0453Z;P3;193
045A;P3;92
045AZ;P3;92
046;P3;43
0461;P3;43
04611;P3;43
05;P3;1404
051;P3;372
0511;P3;364
0511Z;P3;364
051A;P3;8
051AZ;P3;8
052;P3;91
0521;P3;91
0521Z;P3;91
053;P3;219
0531;P3;195
