NOMENCLATURE2;ZEAT;COEFF_BUDG
01;0;16.7
011;0;14.4
012;0;1.7
013;0;0.7
02;0;2.2
021;0;1.2
022;0;0.9
024;0;0.0
03;0;5.5
031;0;3.6
032;0;1.3
033;0;0.5
04;0;14.5
041;0;7.5
043;0;0.8
044;0;2.7
045;0;3.2
046;0;0.4
05;0;6.4
051;0;1.4
052;0;0.3
053;0;1.0
054;0;0.3
055;0;0.8
056;0;2.5
057;0;0.1
06;0;1.5
061;0;1.1
062;0;0.4
063;0;0.0
064;0;0.0
07;0;19.5
071;0;7.4
072;0;8.6
073;0;1.6
074;0;1.9
08;0;4.7
081;0;4.7
09;0;7.5
091;0;0.9
092;0;0.1
093;0;1.3
094;0;2.9
095;0;0.8
096;0;1.1
097;0;0.5
10;0;0.8
101;0;0.8
11;0;5.6
111;0;5.0
112;0;0.6
12;0;15.0
121;0;2.8
123;0;0.7
124;0;0.8
125;0;8.3
126;0;0.8
127;0;1.4
128;0;0.1
129;0;0.1
CTOTALE;0;100.0
01;1;14.9
011;1;13.0
012;1;1.2
013;1;0.7
02;1;2.5
021;1;1.3
022;1;1.2
024;1;0.0
03;1;4.9
031;1;3.5
032;1;1.0
033;1;0.5
04;1;19.4
041;1;9.9
043;1;0.6
044;1;4.8
045;1;3.9
046;1;0.2
05;1;5.3
051;1;1.2
052;1;0.3
053;1;0.6
054;1;0.2
055;1;0.5
056;1;2.3
057;1;0.2
06;1;2.0
061;1;0.9
062;1;1.0
063;1;0.1
064;1;0.1
07;1;14.1
071;1;4.4
072;1;3.8
073;1;4.0
074;1;1.9
08;1;2.4
081;1;2.4
09;1;9.8
091;1;0.9
092;1;0.7
093;1;1.3
094;1;3.4
095;1;1.1
096;1;1.6
097;1;0.9
10;1;1.1
101;1;1.1
11;1;9.2
111;1;7.8
112;1;1.4
12;1;14.2
121;1;2.8
123;1;0.7
124;1;1.2
125;1;6.8
126;1;0.5
127;1;2.0
128;1;0.1
129;1;0.0
CTOTALE;1;100.0
01;2;16.9
011;2;14.9
012;2;1.3
013;2;0.7
02;2;2.9
021;2;1.5
022;2;1.4
024;2;0.0
03;2;5.1
031;2;3.5
032;2;1.1
033;2;0.4
04;2;15.7
041;2;6.4
043;2;0.7
044;2;2.5
045;2;5.8
046;2;0.3
05;2;5.9
051;2;1.7
052;2;0.3
053;2;0.7
054;2;0.3
055;2;0.9
056;2;1.8
057;2;0.2
06;2;1.8
061;2;0.9
062;2;0.7
063;2;0.1
064;2;0.0
07;2;16.8
071;2;7.8
072;2;6.5
073;2;1.4
074;2;1.1
08;2;2.8
081;2;2.8
09;2;9.0
091;2;0.9
092;2;0.3
093;2;2.0
094;2;2.7
095;2;1.1
096;2;1.1
097;2;0.8
10;2;0.5
101;2;0.5
11;2;6.5
111;2;5.1
112;2;1.4
12;2;16.1
121;2;2.7
123;2;0.5
124;2;1.3
125;2;9.1
126;2;0.6
127;2;1.7
128;2;0.1
129;2;0.1
CTOTALE;2;100.0
01;3;16.6
011;3;14.4
012;3;1.6
013;3;0.6
02;3;3.4
021;3;1.9
022;3;1.5
024;3;0.0
03;3;5.3
031;3;3.8
032;3;1.2
033;3;0.3
04;3;15.1
041;3;6.3
043;3;0.5
044;3;2.5
045;3;5.6
046;3;0.2
05;3;5.2
051;3;1.7
052;3;0.3
053;3;0.7
054;3;0.3
055;3;0.5
056;3;1.7
057;3;0.1
06;3;1.4
061;3;0.7
062;3;0.6
063;3;0.1
064;3;0.0
07;3;17.1
071;3;8.8
072;3;5.8
073;3;1.6
074;3;1.0
08;3;2.8
081;3;2.8
09;3;9.2
091;3;0.9
092;3;0.2
093;3;1.9
094;3;2.7
095;3;0.9
096;3;1.7
097;3;0.9
10;3;0.8
101;3;0.8
11;3;7.2
111;3;5.4
112;3;1.8
12;3;15.9
121;3;2.8
123;3;0.7
124;3;1.1
125;3;8.7
126;3;0.5
127;3;2.0
128;3;0.1
129;3;0.0
CTOTALE;3;100.0
01;4;16.3
011;4;14.3
012;4;1.4
013;4;0.6
02;4;3.0
021;4;1.6
022;4;1.4
024;4;0.0
03;4;5.4
031;4;3.9
032;4;1.1
033;4;0.5
04;4;16.0
041;4;7.1
043;4;0.7
044;4;2.6
045;4;5.5
046;4;0.1
05;4;5.9
051;4;1.7
052;4;0.4
053;4;0.7
054;4;0.3
055;4;0.9
056;4;1.6
057;4;0.3
06;4;1.9
061;4;0.9
062;4;0.8
063;4;0.1
064;4;0.0
07;4;15.9
071;4;7.2
072;4;6.5
073;4;1.0
074;4;1.2
08;4;2.8
081;4;2.8
09;4;9.5
091;4;1.0
092;4;0.2
093;4;1.9
094;4;2.7
095;4;1.1
096;4;1.6
097;4;1.0
10;4;0.4
101;4;0.4
11;4;6.5
111;4;5.6
112;4;1.0
12;4;16.3
121;4;2.8
123;4;0.6
124;4;1.1
125;4;8.7
126;4;0.6
127;4;2.4
128;4;0.1
129;4;0.1
CTOTALE;4;100.0
01;5;16.8
011;5;14.9
012;5;1.2
013;5;0.6
02;5;3.1
021;5;1.6
022;5;1.5
024;5;0.0
03;5;4.7
031;5;3.3
032;5;1.0
033;5;0.4
04;5;13.7
041;5;5.5
043;5;0.6
044;5;2.0
045;5;5.5
046;5;0.2
05;5;6.3
051;5;2.0
052;5;0.3
053;5;0.8
054;5;0.3
055;5;0.7
056;5;2.0
057;5;0.2
06;5;1.8
061;5;1.0
062;5;0.7
063;5;0.1
064;5;0.0
07;5;17.3
071;5;7.6
072;5;7.0
073;5;1.4
074;5;1.3
08;5;2.7
081;5;2.7
09;5;9.6
091;5;1.0
092;5;0.6
093;5;1.7
094;5;2.8
095;5;1.4
096;5;1.2
097;5;0.9
10;5;0.8
101;5;0.8
11;5;6.6
111;5;5.4
112;5;1.2
12;5;16.6
121;5;2.8
123;5;0.6
124;5;1.2
125;5;9.0
126;5;0.6
127;5;2.2
128;5;0.1
129;5;0.1
CTOTALE;5;100.0
01;7;16.8
011;7;15.0
012;7;1.3
013;7;0.5
02;7;2.6
021;7;1.2
022;7;1.4
024;7;0.0
03;7;4.8
031;7;3.4
032;7;1.0
033;7;0.5
04;7;15.3
041;7;6.5
043;7;0.6
044;7;2.3
045;7;5.6
046;7;0.4
05;7;6.0
051;7;1.6
052;7;0.3
053;7;1.0
054;7;0.3
055;7;0.9
056;7;1.8
057;7;0.1
06;7;1.8
061;7;0.9
062;7;0.8
063;7;0.1
064;7;0.0
07;7;17.1
071;7;7.5
072;7;7.3
073;7;1.2
074;7;1.1
08;7;2.7
081;7;2.7
09;7;9.2
091;7;0.9
092;7;0.3
093;7;1.9
094;7;2.8
095;7;1.3
096;7;1.1
097;7;0.8
10;7;0.7
101;7;0.7
11;7;6.1
111;7;5.3
112;7;0.8
12;7;16.8
121;7;2.6
123;7;0.7
124;7;1.0
125;7;9.5
126;7;0.6
127;7;2.3
128;7;0.1
129;7;0.1
CTOTALE;7;100.0
01;8;15.6
011;8;14.0
012;8;1.1
013;8;0.6
02;8;3.0
021;8;1.4
022;8;1.5
024;8;0.0
03;8;4.9
031;8;3.4
032;8;1.0
033;8;0.5
04;8;15.4
041;8;6.6
043;8;0.7
044;8;3.0
045;8;4.7
046;8;0.3
05;8;5.2
051;8;1.4
052;8;0.2
053;8;0.7
054;8;0.3
055;8;0.8
056;8;1.6
057;8;0.2
06;8;2.0
061;8;0.9
062;8;0.9
063;8;0.1
064;8;0.0
07;8;17.8
071;8;8.4
072;8;6.7
073;8;1.5
074;8;1.2
08;8;2.5
081;8;2.5
09;8;9.0
091;8;0.8
092;8;0.1
093;8;1.6
094;8;3.1
095;8;1.1
096;8;1.3
097;8;0.9
10;8;0.9
101;8;0.9
11;8;7.5
111;8;6.1
112;8;1.4
12;8;16.3
121;8;2.7
123;8;0.6
124;8;1.2
125;8;8.6
126;8;0.5
127;8;2.3
128;8;0.1
129;8;0.2
CTOTALE;8;100.0
01;9;15.8
011;9;14.1
012;9;1.2
013;9;0.5
02;9;3.1
021;9;1.2
022;9;1.9
024;9;0.0
03;9;5.1
031;9;3.4
032;9;1.1
033;9;0.6
04;9;16.9
041;9;8.5
043;9;0.5
044;9;3.1
045;9;4.5
046;9;0.3
05;9;5.7
051;9;1.6
052;9;0.4
053;9;0.7
054;9;0.2
055;9;0.8
056;9;1.9
057;9;0.1
06;9;1.8
061;9;1.0
062;9;0.7
063;9;0.1
064;9;0.0
07;9;15.7
071;9;6.8
072;9;6.3
073;9;1.6
074;9;1.1
08;9;2.8
081;9;2.8
09;9;9.7
091;9;1.1
092;9;0.2
093;9;1.8
094;9;3.5
095;9;1.1
096;9;1.1
097;9;0.8
10;9;0.7
101;9;0.7
11;9;6.6
111;9;5.7
112;9;1.0
12;9;16.1
121;9;2.8
123;9;0.6
124;9;0.7
125;9;8.8
126;9;0.5
127;9;2.6
128;9;0.1
129;9;0.0
CTOTALE;9;100.0
01;TOT;16.1
011;TOT;14.2
012;TOT;1.3
013;TOT;0.6
02;TOT;2.9
021;TOT;1.4
022;TOT;1.4
024;TOT;0.0
03;TOT;5.0
031;TOT;3.5
032;TOT;1.1
033;TOT;0.5
04;TOT;16.3
041;TOT;7.4
043;TOT;0.6
044;TOT;3.0
045;TOT;4.9
046;TOT;0.3
05;TOT;5.7
051;TOT;1.5
052;TOT;0.3
053;TOT;0.7
054;TOT;0.3
055;TOT;0.8
056;TOT;1.9
057;TOT;0.2
06;TOT;1.8
