NOMENCLATURE2;CSPR;COEFF_BUDG
01;1;18.7
011;1;17.0
012;1;1.2
013;1;0.5
02;1;2.9
021;1;1.9
022;1;1.0
024;1;0.0
03;1;4.8
031;1;3.2
032;1;1.0
033;1;0.6
04;1;11.6
041;1;2.4
043;1;0.4
044;1;1.5
045;1;6.2
046;1;1.0
05;1;4.0
051;1;1.0
052;1;0.0
053;1;0.6
054;1;0.3
055;1;0.6
056;1;1.3
057;1;0.1
06;1;1.3
061;1;0.8
062;1;0.4
063;1;0.1
064;1;0.0
07;1;18.1
071;1;8.1
072;1;7.2
073;1;1.0
074;1;1.8
08;1;3.4
081;1;3.4
09;1;7.7
091;1;0.9
092;1;0.1
093;1;1.5
094;1;2.2
095;1;0.8
096;1;1.5
097;1;0.8
10;1;0.7
101;1;0.7
11;1;7.6
111;1;6.3
112;1;1.2
12;1;19.2
121;1;2.3
123;1;0.6
124;1;0.9
125;1;12.2
126;1;0.7
127;1;2.6
128;1;0.0
129;1;0.0
CTOTALE;1;100.0
01;2;14.9
011;2;13.1
012;2;1.2
013;2;0.6
02;2;3.4
021;2;1.6
022;2;1.7
024;2;0.0
03;2;4.9
031;2;3.3
032;2;1.1
033;2;0.5
04;2;13.8
041;2;6.0
043;2;0.4
044;2;2.3
045;2;4.7
046;2;0.4
05;2;5.4
051;2;1.6
052;2;0.2
053;2;0.7
054;2;0.3
055;2;0.6
056;2;1.7
057;2;0.3
06;2;1.6
061;2;0.7
062;2;0.8
063;2;0.0
064;2;0.0
07;2;19.3
071;2;10.4
072;2;5.3
073;2;2.1
074;2;1.4
08;2;2.5
081;2;2.5
09;2;9.5
091;2;0.7
092;2;0.2
093;2;1.5
094;2;3.0
095;2;1.2
096;2;2.0
097;2;0.9
10;2;1.2
101;2;1.2
11;2;9.1
111;2;7.5
112;2;1.6
12;2;14.4
121;2;2.4
123;2;0.8
124;2;1.0
125;2;7.5
126;2;0.5
127;2;2.1
128;2;0.0
129;2;0.0
CTOTALE;2;100.0
01;3;13.5
011;3;11.8
012;3;1.0
013;3;0.7
02;3;1.9
021;3;1.2
022;3;0.8
024;3;0.0
03;3;5.5
031;3;3.8
032;3;1.1
033;3;0.6
04;3;13.4
041;3;6.4
043;3;0.6
044;3;2.4
045;3;3.6
046;3;0.3
05;3;6.5
051;3;1.8
052;3;0.4
053;3;0.6
054;3;0.2
055;3;0.6
056;3;2.5
057;3;0.2
06;3;1.8
061;3;0.9
062;3;0.8
063;3;0.1
064;3;0.1
07;3;16.8
071;3;6.7
072;3;5.1
073;3;3.0
074;3;2.0
08;3;2.1
081;3;2.1
09;3;11.3
091;3;1.1
092;3;0.5
093;3;1.6
094;3;3.9
095;3;1.2
096;3;1.9
097;3;1.2
10;3;1.3
101;3;1.3
11;3;10.7
111;3;8.7
112;3;2.0
12;3;15.2
121;3;2.7
123;3;0.8
124;3;1.7
125;3;6.2
126;3;0.4
127;3;3.0
128;3;0.1
129;3;0.2
CTOTALE;3;100.0
01;4;14.5
011;4;12.6
012;4;1.3
013;4;0.6
02;4;2.8
021;4;1.2
022;4;1.6
024;4;0.0
03;4;5.7
031;4;4.0
032;4;1.2
033;4;0.5
04;4;14.8
041;4;7.6
043;4;0.4
044;4;2.5
045;4;4.0
046;4;0.2
05;4;4.9
051;4;1.6
052;4;0.3
053;4;0.7
054;4;0.3
055;4;0.6
056;4;1.1
057;4;0.2
06;4;1.9
061;4;0.9
062;4;0.9
063;4;0.1
064;4;0.0
07;4;18.6
071;4;8.4
072;4;6.9
073;4;2.0
074;4;1.3
08;4;2.7
081;4;2.7
09;4;9.6
091;4;1.1
092;4;0.2
093;4;1.9
094;4;3.1
095;4;1.0
096;4;1.4
097;4;0.9
10;4;0.9
101;4;0.9
11;4;8.2
111;4;6.8
112;4;1.4
12;4;15.5
121;4;2.8
123;4;0.7
124;4;1.7
125;4;7.3
126;4;0.5
127;4;2.3
128;4;0.1
129;4;0.1
CTOTALE;4;100.0
01;5;15.2
011;5;13.3
012;5;1.3
013;5;0.6
02;5;3.0
021;5;1.0
022;5;1.9
024;5;0.0
03;5;6.1
031;5;4.3
032;5;1.3
033;5;0.5
04;5;19.5
041;5;10.5
043;5;0.7
044;5;3.6
045;5;4.5
046;5;0.2
05;5;4.3
051;5;1.4
052;5;0.2
053;5;0.7
054;5;0.3
055;5;0.5
056;5;1.0
057;5;0.1
06;5;1.8
061;5;0.8
062;5;0.8
063;5;0.1
064;5;0.1
07;5;16.1
071;5;6.3
072;5;6.9
073;5;1.8
074;5;1.1
08;5;3.2
081;5;3.2
09;5;8.4
091;5;0.9
092;5;0.4
093;5;1.7
094;5;3.0
095;5;0.8
096;5;0.8
097;5;0.7
10;5;0.8
101;5;0.8
11;5;6.9
111;5;5.8
112;5;1.1
12;5;14.8
121;5;3.0
123;5;0.5
124;5;0.9
125;5;7.8
126;5;0.6
127;5;1.8
128;5;0.1
129;5;0.1
CTOTALE;5;100.0
01;6;16.4
011;6;14.4
012;6;1.4
013;6;0.6
02;6;3.9
021;6;1.3
022;6;2.6
024;6;0.0
03;6;5.4
031;6;3.9
032;6;1.2
033;6;0.4
04;6;18.4
041;6;9.7
043;6;0.6
044;6;3.0
045;6;5.0
046;6;0.1
05;6;4.6
051;6;1.4
052;6;0.2
053;6;0.7
054;6;0.3
055;6;0.6
056;6;1.2
057;6;0.1
06;6;1.6
061;6;0.8
062;6;0.7
063;6;0.1
064;6;0.0
07;6;17.5
071;6;7.0
072;6;8.2
073;6;1.5
074;6;0.9
08;6;3.4
081;6;3.4
09;6;7.9
091;6;1.0
092;6;0.5
093;6;2.0
094;6;2.7
095;6;0.6
096;6;0.5
097;6;0.5
10;6;0.5
101;6;0.5
11;6;5.5
111;6;4.9
112;6;0.7
12;6;14.9
121;6;2.5
123;6;0.6
124;6;1.4
125;6;8.2
126;6;0.6
127;6;1.5
128;6;0.1
129;6;0.1
CTOTALE;6;100.0
01;7;19.5
011;7;17.6
012;7;1.3
013;7;0.6
02;7;2.9
021;7;1.9
022;7;1.0
024;7;0.0
03;7;3.4
031;7;2.4
032;7;0.7
033;7;0.4
04;7;16.7
041;7;5.2
043;7;0.9
044;7;3.7
045;7;6.6
046;7;0.3
05;7;6.9
051;7;1.4
052;7;0.4
053;7;0.8
054;7;0.3
055;7;1.2
056;7;2.6
057;7;0.2
06;7;2.1
061;7;1.2
062;7;0.8
063;7;0.1
064;7;0.0
07;7;14.2
071;7;6.5
072;7;5.4
073;7;1.2
074;7;1.1
08;7;2.6
081;7;2.6
09;7;9.1
091;7;0.7
092;7;0.3
093;7;1.6
094;7;2.6
095;7;1.6
096;7;1.4
097;7;0.8
10;7;0.1
101;7;0.1
11;7;4.4
111;7;3.5
112;7;0.8
12;7;18.1
121;7;2.8
123;7;0.4
124;7;0.4
125;7;11.8
126;7;0.6
127;7;1.9
128;7;0.1
129;7;0.0
CTOTALE;7;100.0
01;8;16.8
011;8;14.8
012;8;1.5
013;8;0.5
02;8;3.5
021;8;1.2
022;8;2.3
024;8;0.0
03;8;5.8
031;8;4.1
032;8;1.2
033;8;0.4
04;8;24.1
041;8;13.1
043;8;0.2
044;8;4.6
045;8;6.1
046;8;0.1
05;8;4.8
051;8;1.3
052;8;0.2
053;8;0.5
054;8;0.3
055;8;0.4
056;8;2.0
057;8;0.1
06;8;1.9
061;8;1.1
062;8;0.7
063;8;0.1
064;8;0.0
07;8;11.0
071;8;2.8
072;8;4.4
073;8;2.6
074;8;1.2
08;8;3.7
081;8;3.7
09;8;7.4
