NOMENCLATURE2;STRATE;COEFF_BUDG
01;0;17.1
011;0;15.3
012;0;1.3
013;0;0.6
02;0;3.1
021;0;1.7
022;0;1.4
024;0;0.0
03;0;4.8
031;0;3.3
032;0;1.0
033;0;0.4
04;0;12.3
041;0;3.4
043;0;0.8
044;0;1.5
045;0;6.3
046;0;0.3
05;0;6.1
051;0;1.4
052;0;0.3
053;0;0.9
054;0;0.3
055;0;1.3
056;0;1.8
057;0;0.2
06;0;1.7
061;0;0.9
062;0;0.8
063;0;0.1
064;0;0.0
07;0;19.0
071;0;8.9
072;0;8.2
073;0;0.8
074;0;1.0
08;0;2.8
081;0;2.8
09;0;9.3
091;0;0.9
092;0;0.3
093;0;2.2
094;0;2.7
095;0;1.2
096;0;1.2
097;0;0.8
10;0;0.5
101;0;0.5
11;0;6.2
111;0;5.1
112;0;1.2
12;0;16.9
121;0;2.6
123;0;0.5
124;0;1.3
125;0;10.0
126;0;0.6
127;0;1.7
128;0;0.1
129;0;0.1
CTOTALE;0;100.0
01;1;16.8
011;1;14.8
012;1;1.4
013;1;0.6
02;1;2.9
021;1;1.4
022;1;1.4
024;1;0.0
03;1;4.9
031;1;3.4
032;1;1.1
033;1;0.4
04;1;14.6
041;1;5.7
043;1;0.8
044;1;2.0
045;1;5.8
046;1;0.2
05;1;6.2
051;1;1.8
052;1;0.3
053;1;0.9
054;1;0.4
055;1;0.8
056;1;1.8
057;1;0.2
06;1;1.8
061;1;0.9
062;1;0.8
063;1;0.1
064;1;0.0
07;1;17.5
071;1;8.3
072;1;6.9
073;1;1.2
074;1;1.1
08;1;2.8
081;1;2.8
09;1;9.3
091;1;0.9
092;1;0.2
093;1;2.0
094;1;2.8
095;1;1.2
096;1;1.3
097;1;0.9
10;1;0.5
101;1;0.5
11;1;6.1
111;1;5.1
112;1;1.0
12;1;16.6
121;1;2.6
123;1;0.6
124;1;1.1
125;1;9.3
126;1;0.6
127;1;2.3
128;1;0.1
129;1;0.0
CTOTALE;1;100.0
01;2;16.3
011;2;14.4
012;2;1.3
013;2;0.6
02;2;2.8
021;2;1.3
022;2;1.5
024;2;0.0
03;2;5.0
031;2;3.4
032;2;1.1
033;2;0.5
04;2;16.9
041;2;7.9
043;2;0.6
044;2;3.0
045;2;5.2
046;2;0.3
05;2;5.2
051;2;1.3
052;2;0.4
053;2;0.7
054;2;0.2
055;2;0.8
056;2;1.7
057;2;0.1
06;2;1.9
061;2;1.0
062;2;0.7
063;2;0.1
064;2;0.0
07;2;16.9
071;2;7.6
072;2;6.5
073;2;1.6
074;2;1.1
08;2;2.8
081;2;2.8
09;2;8.8
091;2;0.9
092;2;0.1
093;2;1.7
094;2;2.8
095;2;1.1
096;2;1.3
097;2;0.8
10;2;0.7
101;2;0.7
11;2;6.6
111;2;5.4
112;2;1.2
12;2;16.2
121;2;2.9
123;2;0.6
124;2;0.9
125;2;8.9
126;2;0.6
127;2;2.1
128;2;0.1
129;2;0.1
CTOTALE;2;100.0
01;3;15.7
011;3;13.9
012;3;1.2
013;3;0.6
02;3;2.9
021;3;1.3
022;3;1.6
024;3;0.0
03;3;5.2
031;3;3.6
032;3;1.1
033;3;0.5
04;3;17.4
041;3;8.9
043;3;0.5
044;3;3.5
045;3;4.2
046;3;0.3
05;3;5.5
051;3;1.8
052;3;0.3
053;3;0.7
054;3;0.3
055;3;0.6
056;3;1.8
057;3;0.2
06;3;1.8
061;3;1.0
062;3;0.7
063;3;0.1
064;3;0.0
07;3;15.3
071;3;6.4
072;3;5.6
