NOMENCLATURE2;TYPMEN;COEFF_BUDG
01;1;14.6
011;1;12.8
012;1;1.2
013;1;0.6
02;1;3.4
021;1;1.5
022;1;1.9
024;1;0.0
03;1;4.2
031;1;2.9
032;1;0.8
033;1;0.5
04;1;24.2
041;1;13.0
043;1;0.5
044;1;4.6
045;1;5.8
046;1;0.2
05;1;5.3
051;1;1.2
052;1;0.4
053;1;0.6
054;1;0.3
055;1;0.5
056;1;2.1
057;1;0.2
06;1;1.9
061;1;1.1
062;1;0.7
063;1;0.1
064;1;0.0
07;1;12.4
071;1;3.9
072;1;5.1
073;1;2.2
074;1;1.2
08;1;3.0
081;1;3.0
09;1;9.5
091;1;1.0
092;1;0.4
093;1;1.4
094;1;3.4
095;1;1.4
096;1;0.9
097;1;0.9
10;1;0.4
101;1;0.4
11;1;6.3
111;1;5.6
112;1;0.7
12;1;14.9
121;1;2.6
123;1;0.6
124;1;0.3
125;1;8.8
126;1;0.6
127;1;2.0
128;1;0.1
129;1;0.0
CTOTALE;1;100.0
01;2;15.0
011;2;13.3
012;2;1.3
013;2;0.5
02;2;2.9
021;2;1.0
022;2;1.9
024;2;0.0
03;2;6.2
031;2;4.5
032;2;1.3
033;2;0.4
04;2;19.7
041;2;9.8
043;2;1.0
044;2;4.1
045;2;4.8
046;2;0.1
05;2;4.4
051;2;1.2
052;2;0.3
053;2;0.6
054;2;0.2
055;2;0.4
056;2;1.6
057;2;0.1
06;2;1.9
061;2;0.9
062;2;0.8
063;2;0.1
064;2;0.0
07;2;15.0
071;2;6.5
072;2;5.2
073;2;2.3
074;2;1.0
08;2;3.3
081;2;3.3
09;2;8.4
091;2;0.8
092;2;0.2
093;2;1.7
094;2;3.2
095;2;1.0
096;2;0.8
097;2;0.7
10;2;1.2
101;2;1.2
11;2;7.5
111;2;6.4
112;2;1.1
12;2;14.5
121;2;2.8
123;2;0.6
124;2;0.9
125;2;7.1
126;2;0.6
127;2;2.3
128;2;0.1
129;2;0.1
CTOTALE;2;100.0
01;3;17.4
011;3;15.5
012;3;1.2
013;3;0.6
02;3;2.9
021;3;1.8
022;3;1.1
024;3;0.0
03;3;4.3
031;3;2.9
032;3;0.9
033;3;0.6
04;3;13.9
041;3;5.0
043;3;0.8
044;3;2.5
045;3;5.2
046;3;0.4
05;3;6.7
051;3;1.7
052;3;0.3
053;3;0.8
054;3;0.3
055;3;1.3
056;3;1.9
057;3;0.2
06;3;1.9
061;3;0.9
062;3;0.8
063;3;0.1
064;3;0.0
07;3;17.9
071;3;8.4
072;3;6.3
073;3;1.7
074;3;1.5
08;3;2.4
081;3;2.4
09;3;9.6
091;3;0.9
092;3;0.4
093;3;1.7
094;3;2.7
095;3;1.2
096;3;1.7
097;3;0.9
10;3;0.2
101;3;0.2
11;3;6.3
111;3;5.1
112;3;1.2
12;3;16.5
121;3;2.8
123;3;0.6
124;3;0.1
125;3;9.8
126;3;0.5
127;3;2.6
128;3;0.2
129;3;0.0
CTOTALE;3;100.0
01;4;16.0
011;4;14.1
012;4;1.3
013;4;0.6
02;4;2.5
021;4;1.1
022;4;1.3
024;4;0.0
03;4;5.8
031;4;4.0
032;4;1.3
033;4;0.4
04;4;12.5
041;4;5.3
043;4;0.5
044;4;2.3
045;4;4.3
046;4;0.2
05;4;5.5
051;4;1.7
052;4;0.3
053;4;0.7
054;4;0.3
055;4;0.6
056;4;1.8
057;4;0.1
06;4;1.8
061;4;0.8
062;4;0.8
063;4;0.1
064;4;0.0
07;4;17.8
071;4;8.0
072;4;6.6
073;4;1.8
074;4;1.4
08;4;2.6
081;4;2.6
09;4;9.4
091;4;0.9
092;4;0.3
093;4;1.9
094;4;3.1
095;4;1.0
096;4;1.5
097;4;0.8
10;4;1.3
101;4;1.3
11;4;8.5
111;4;6.8
112;4;1.7
12;4;16.2
121;4;2.8
123;4;0.7
124;4;2.5
125;4;7.5
126;4;0.5
127;4;2.0
128;4;0.1
129;4;0.2
CTOTALE;4;100.0
01;5;18.5
011;5;16.5
012;5;1.4
013;5;0.5
02;5;3.4
021;5;1.2
022;5;2.1
024;5;0.0
03;5;5.1
031;5;3.8
032;5;1.0
033;5;0.2
04;5;17.5
041;5;8.6
043;5;0.7
044;5;3.1
045;5;4.9
046;5;0.1
05;5;4.1
051;5;0.9
052;5;0.2
053;5;0.6
054;5;0.2
055;5;0.6
056;5;1.6
057;5;0.1
06;5;1.8
061;5;0.9
062;5;0.8
063;5;0.1
064;5;0.0
07;5;15.9
071;5;5.3
072;5;7.7
073;5;2.1
074;5;0.9
08;5;3.3
081;5;3.3
09;5;8.3
091;5;1.1
092;5;0.2
093;5;2.5
094;5;2.5
095;5;1.0
096;5;0.6
097;5;0.5
10;5;1.2
101;5;1.2
11;5;6.0
111;5;5.3
112;5;0.7
12;5;14.8
121;5;2.9
123;5;0.4
124;5;0.4
125;5;9.5
126;5;0.7
127;5;0.8
128;5;0.1
129;5;0.1
CTOTALE;5;100.0
01;TOT;16.1
011;TOT;14.2
012;TOT;1.3
013;TOT;0.6
02;TOT;2.9
021;TOT;1.4
022;TOT;1.4
024;TOT;0.0
03;TOT;5.0
031;TOT;3.5
032;TOT;1.1
033;TOT;0.5
04;TOT;16.3
041;TOT;7.4
043;TOT;0.6
044;TOT;3.0
045;TOT;4.9
046;TOT;0.3
05;TOT;5.7
051;TOT;1.5
052;TOT;0.3
053;TOT;0.7
054;TOT;0.3
055;TOT;0.8
056;TOT;1.9
057;TOT;0.2
06;TOT;1.8
061;TOT;0.9
062;TOT;0.8
063;TOT;0.1
064;TOT;0.0
07;TOT;16.4
071;TOT;7.0
072;TOT;6.1
073;TOT;1.9
074;TOT;1.3
08;TOT;2.7
081;TOT;2.7
09;TOT;9.4
091;TOT;0.9
092;TOT;0.3
093;TOT;1.7
094;TOT;3.0
095;TOT;1.1
096;TOT;1.3
097;TOT;0.9
10;TOT;0.8
101;TOT;0.8
11;TOT;7.2
111;TOT;6.0
112;TOT;1.2
12;TOT;15.8
121;TOT;2.8
123;TOT;0.6
124;TOT;1.1
125;TOT;8.5
126;TOT;0.5
127;TOT;2.1
128;TOT;0.1
129;TOT;0.1
CTOTALE;TOT;100.0
