NOMENCLATURE2;DECUC;COEFF_BUDG
01;1;17.8
011;1;15.7
012;1;1.5
013;1;0.6
02;1;3.4
021;1;1.1
022;1;2.3
024;1;0.0
03;1;5.6
031;1;4.0
032;1;1.2
033;1;0.4
04;1;22.6
041;1;11.6
043;1;0.4
044;1;4.5
045;1;6.0
046;1;0.1
05;1;3.7
051;1;1.0
052;1;0.1
053;1;0.6
054;1;0.2
055;1;0.3
056;1;1.3
057;1;0.1
06;1;1.6
061;1;0.9
062;1;0.6
063;1;0.1
064;1;0.0
07;1;13.6
071;1;4.1
072;1;5.6
073;1;2.9
074;1;1.0
08;1;4.0
081;1;4.0
09;1;7.8
091;1;1.0
092;1;0.0
093;1;2.0
094;1;2.7
095;1;1.0
096;1;0.6
097;1;0.6
10;1;1.8
101;1;1.8
11;1;5.3
111;1;4.7
112;1;0.5
12;1;12.9
121;1;2.4
123;1;0.6
124;1;0.3
125;1;7.6
126;1;0.7
127;1;1.3
128;1;0.0
129;1;0.1
CTOTALE;1;100.0
01;10;13.6
011;10;11.9
012;10;1.0
013;10;0.7
02;10;2.2
021;10;1.5
022;10;0.8
024;10;0.0
03;10;4.8
031;10;3.3
032;10;1.0
033;10;0.6
04;10;12.0
041;10;4.3
043;10;0.6
044;10;2.5
045;10;4.0
046;10;0.6
05;10;8.0
051;10;1.9
052;10;0.4
053;10;0.6
054;10;0.3
055;10;1.1
056;10;3.4
057;10;0.3
06;10;1.6
061;10;0.8
062;10;0.6
063;10;0.1
064;10;0.0
07;10;18.2
071;10;8.8
072;10;4.7
073;10;2.6
074;10;2.1
08;10;1.8
081;10;1.8
09;10;11.0
091;10;1.0
092;10;0.2
093;10;1.4
094;10;3.4
095;10;1.3
096;10;2.4
097;10;1.2
10;10;1.0
101;10;1.0
11;10;10.2
111;10;8.0
112;10;2.2
12;10;15.5
121;10;2.6
123;10;0.9
124;10;1.2
125;10;6.9
126;10;0.4
127;10;3.3
128;10;0.1
129;10;0.1
CTOTALE;10;100.0
01;2;18.8
011;2;16.7
012;2;1.5
013;2;0.5
02;2;3.4
021;2;1.1
022;2;2.3
024;2;0.0
03;2;5.4
031;2;3.8
032;2;1.2
033;2;0.4
04;2;21.7
041;2;10.6
043;2;0.3
044;2;4.6
045;2;6.1
046;2;0.2
05;2;4.2
051;2;1.1
052;2;0.2
053;2;0.6
054;2;0.2
055;2;0.6
056;2;1.3
057;2;0.1
06;2;1.8
061;2;1.0
062;2;0.7
063;2;0.1
064;2;0.0
07;2;13.7
071;2;4.4
072;2;6.3
073;2;1.9
074;2;1.0
08;2;3.6
081;2;3.6
09;2;6.7
091;2;0.8
092;2;0.1
093;2;1.5
094;2;2.4
095;2;0.9
096;2;0.5
097;2;0.5
10;2;1.3
101;2;1.3
11;2;5.1
111;2;4.3
112;2;0.8
12;2;14.4
121;2;2.5
123;2;0.4
124;2;0.5
125;2;9.1
126;2;0.7
127;2;1.1
128;2;0.1
129;2;0.1
CTOTALE;2;100.0
01;3;17.6
011;3;15.7
012;3;1.5
013;3;0.5
02;3;3.5
021;3;1.5
022;3;2.1
024;3;0.0
03;3;5.1
031;3;3.5
032;3;1.1
033;3;0.4
04;3;20.9
041;3;10.6
043;3;0.4
044;3;3.9
045;3;5.9
046;3;0.1
05;3;5.0
051;3;1.4
052;3;0.3
053;3;0.9
054;3;0.3
055;3;0.6
056;3;1.4
057;3;0.1
06;3;2.0
061;3;0.9
062;3;0.9
063;3;0.1
064;3;0.0
07;3;13.6
071;3;5.1
072;3;6.3
073;3;1.3
074;3;0.9
08;3;3.3
081;3;3.3
09;3;7.4
091;3;0.8
092;3;0.3
093;3;1.6
094;3;2.6
095;3;1.0
096;3;0.5
097;3;0.5
10;3;0.5
101;3;0.5
11;3;5.0
111;3;4.4
112;3;0.6
12;3;16.2
121;3;2.6
123;3;0.5
124;3;0.8
125;3;9.6
126;3;0.6
127;3;2.0
128;3;0.0
129;3;0.1
CTOTALE;3;100.0
01;4;18.1
011;4;16.2
012;4;1.4
013;4;0.5
02;4;3.4
021;4;1.5
022;4;1.9
024;4;0.0
03;4;4.6
031;4;3.2
032;4;1.0
033;4;0.4
04;4;19.3
041;4;9.8
043;4;0.4
044;4;3.3
045;4;5.6
046;4;0.2
05;4;4.4
051;4;1.0
052;4;0.2
053;4;0.8
054;4;0.3
055;4;0.6
056;4;1.4
057;4;0.1
06;4;1.8
061;4;0.9
062;4;0.8
063;4;0.1
064;4;0.0
07;4;15.4
071;4;6.4
072;4;6.6
073;4;1.4
074;4;0.9
08;4;3.1
081;4;3.1
09;4;7.9
091;4;0.8
092;4;0.0
093;4;1.6
094;4;2.7
095;4;1.3
096;4;0.8
097;4;0.7
10;4;0.7
101;4;0.7
11;4;6.1
111;4;5.0
112;4;1.0
12;4;15.2
121;4;2.7
123;4;0.5
124;4;0.6
125;4;9.7
126;4;0.6
127;4;1.1
128;4;0.1
129;4;0.1
CTOTALE;4;100.0
01;5;17.0
011;5;15.1
012;5;1.3
013;5;0.6
02;5;3.4
021;5;1.5
022;5;1.9
024;5;0.0
03;5;4.6
031;5;3.2
032;5;1.0
033;5;0.4
04;5;18.4
041;5;9.4
043;5;0.6
044;5;2.9
045;5;5.4
046;5;0.1
05;5;4.6
051;5;1.2
052;5;0.3
053;5;0.7
054;5;0.3
055;5;0.6
056;5;1.4
057;5;0.1
06;5;2.0
061;5;1.0
062;5;0.8
063;5;0.1
064;5;0.0
07;5;16.0
071;5;6.4
072;5;7.2
073;5;1.5
074;5;0.9
08;5;3.0
081;5;3.0
09;5;8.3
091;5;0.9
092;5;0.0
093;5;1.7
094;5;2.9
095;5;1.1
096;5;1.0
097;5;0.7
10;5;0.6
101;5;0.6
11;5;6.4
111;5;5.5
112;5;0.9
12;5;15.9
121;5;2.8
123;5;0.4
124;5;1.0
125;5;9.5
126;5;0.6
127;5;1.5
128;5;0.1
129;5;0.1
CTOTALE;5;100.0
01;6;16.3
011;6;14.4
012;6;1.3
013;6;0.6
02;6;3.3
021;6;1.6
022;6;1.6
024;6;0.0
03;6;4.7
031;6;3.3
032;6;1.0
033;6;0.4
04;6;17.1
041;6;8.0
043;6;1.2
044;6;2.8
045;6;5.0
046;6;0.2
05;6;4.9
051;6;1.4
052;6;0.3
053;6;0.9
054;6;0.2
055;6;0.6
056;6;1.3
057;6;0.2
06;6;1.8
061;6;0.9
062;6;0.9
063;6;0.1
064;6;0.0
07;6;16.7
071;6;7.3
072;6;6.6
073;6;1.6
074;6;1.2
08;6;2.8
081;6;2.8
09;6;9.0
091;6;0.8
092;6;0.3
093;6;2.0
094;6;2.9
095;6;1.1
096;6;1.0
097;6;0.8
10;6;0.5
101;6;0.5
11;6;6.5
111;6;5.7
112;6;0.8
12;6;16.4
121;6;2.9
123;6;0.5
124;6;1.1
125;6;9.2
126;6;0.6
127;6;2.1
128;6;0.1
129;6;0.0
CTOTALE;6;100.0
01;7;15.6
011;7;13.7
012;7;1.2
013;7;0.7
02;7;2.8
021;7;1.5
022;7;1.3
024;7;0.0
03;7;4.9
031;7;3.4
032;7;1.0
033;7;0.5
04;7;15.5
041;7;6.4
043;7;1.0
044;7;2.7
045;7;5.0
046;7;0.3
05;7;5.5
051;7;1.5
052;7;0.3
053;7;0.7
054;7;0.3
055;7;0.9
056;7;1.7
057;7;0.1
06;7;2.0
061;7;0.9
062;7;0.9
063;7;0.1
064;7;0.1
07;7;17.6
071;7;8.0
072;7;6.5
073;7;1.9
074;7;1.2
08;7;2.7
081;7;2.7
09;7;9.6
091;7;1.1
092;7;0.2
093;7;1.9
094;7;3.1
095;7;1.2
096;7;1.2
097;7;0.9
10;7;0.5
101;7;0.5
11;7;6.8
111;7;5.7
112;7;1.1
12;7;16.5
121;7;2.9
123;7;0.6
124;7;1.3
125;7;8.8
126;7;0.5
127;7;2.2
128;7;0.2
129;7;0.1
CTOTALE;7;100.0
01;8;15.8
011;8;14.0
012;8;1.2
013;8;0.7
02;8;2.5
021;8;1.4
022;8;1.1
024;8;0.0
03;8;5.0
031;8;3.5
032;8;1.0
033;8;0.4
04;8;14.0
041;8;6.0
043;8;0.8
044;8;2.6
045;8;4.4
046;8;0.3
05;8;6.2
051;8;1.9
052;8;0.3
053;8;0.7
054;8;0.4
055;8;1.1
056;8;1.6
057;8;0.2
06;8;1.9
061;8;0.9
062;8;0.9
063;8;0.1
064;8;0.0
07;8;17.2
071;8;8.1
072;8;6.2
073;8;1.6
074;8;1.3
08;8;2.5
081;8;2.5
09;8;9.9
091;8;0.9
092;8;1.0
093;8;1.7
094;8;2.8
095;8;1.1
096;8;1.5
097;8;0.9
10;8;0.6
101;8;0.6
11;8;7.2
111;8;5.9
112;8;1.3
12;8;17.3
121;8;2.9
123;8;0.7
124;8;2.0
125;8;8.3
126;8;0.5
127;8;2.6
128;8;0.1
129;8;0.2
CTOTALE;8;100.0
01;9;15.2
011;9;13.3
012;9;1.2
013;9;0.7
02;9;2.3
021;9;1.3
022;9;1.0
024;9;0.0
03;9;5.6
031;9;3.9
032;9;1.2
033;9;0.6
04;9;12.6
041;9;5.0
043;9;0.5
044;9;2.6
045;9;4.3
046;9;0.2
05;9;6.3
051;9;2.0
052;9;0.3
053;9;0.7
054;9;0.3
055;9;0.7
056;9;2.1
057;9;0.2
06;9;2.0
061;9;1.1
062;9;0.8
063;9;0.1
064;9;0.1
07;9;16.8
071;9;7.0
072;9;6.2
073;9;2.1
074;9;1.6
08;9;2.4
081;9;2.4
09;9;11.6
091;9;1.0
092;9;0.7
093;9;2.0
094;9;3.8
095;9;1.1
096;9;1.9
097;9;1.0
10;9;0.7
101;9;0.7
11;9;8.4
111;9;6.9
112;9;1.5
12;9;16.2
121;9;3.0
123;9;0.7
124;9;1.4
125;9;7.9
126;9;0.5
127;9;2.4
128;9;0.1
129;9;0.1
CTOTALE;9;100.0
01;TOT;16.1
011;TOT;14.2
012;TOT;1.3
013;TOT;0.6
02;TOT;2.9
021;TOT;1.4
022;TOT;1.4
024;TOT;0.0
03;TOT;5.0
031;TOT;3.5
032;TOT;1.1
033;TOT;0.5
04;TOT;16.3
041;TOT;7.4
043;TOT;0.6
044;TOT;3.0
045;TOT;4.9
046;TOT;0.3
05;TOT;5.7
051;TOT;1.5
052;TOT;0.3
053;TOT;0.7
054;TOT;0.3
055;TOT;0.8
056;TOT;1.9
057;TOT;0.2
06;TOT;1.8
061;TOT;0.9
062;TOT;0.8
063;TOT;0.1
064;TOT;0.0
07;TOT;16.4
071;TOT;7.0
072;TOT;6.1
073;TOT;1.9
074;TOT;1.3
08;TOT;2.7
081;TOT;2.7
09;TOT;9.4
091;TOT;0.9
092;TOT;0.3
093;TOT;1.7
094;TOT;3.0
095;TOT;1.1
096;TOT;1.3
097;TOT;0.9
10;TOT;0.8
101;TOT;0.8
11;TOT;7.2
111;TOT;6.0
112;TOT;1.2
12;TOT;15.8
121;TOT;2.8
123;TOT;0.6
124;TOT;1.1
125;TOT;8.5
126;TOT;0.5
127;TOT;2.1
128;TOT;0.1
129;TOT;0.1
CTOTALE;TOT;100.0
