NOMENCLATURE2;STATUT;COEFF_BUDG
01;L;13.8
011;L;12.1
012;L;1.2
013;L;0.5
02;L;3.1
021;L;1.1
022;L;2.1
024;L;0.0
03;L;5.3
031;L;3.8
032;L;1.1
033;L;0.4
04;L;29.0
041;L;20.8
043;L;0.2
044;L;4.1
045;L;3.8
046;L;0.1
05;L;3.7
051;L;1.1
052;L;0.2
053;L;0.6
054;L;0.2
055;L;0.3
056;L;1.1
057;L;0.1
06;L;1.6
061;L;0.8
062;L;0.7
063;L;0.1
064;L;0.0
07;L;13.3
071;L;4.5
072;L;5.2
073;L;2.4
074;L;1.2
08;L;3.0
081;L;3.0
09;L;7.9
091;L;1.0
092;L;0.2
093;L;1.5
094;L;2.9
095;L;0.9
096;L;0.7
097;L;0.7
10;L;0.7
101;L;0.7
11;L;6.5
111;L;5.6
112;L;0.9
12;L;12.2
121;L;2.5
123;L;0.6
124;L;0.9
125;L;6.7
126;L;0.5
127;L;1.0
128;L;0.1
129;L;0.0
CTOTALE;L;100.0
01;L1;17.2
011;L1;15.2
012;L1;1.5
013;L1;0.6
02;L1;3.4
021;L1;1.0
022;L1;2.5
024;L1;0.0
03;L1;6.0
031;L1;4.3
032;L1;1.4
033;L1;0.4
04;L1;29.3
041;L1;18.3
043;L1;0.2
044;L1;5.5
045;L1;5.2
046;L1;0.1
05;L1;3.2
051;L1;0.9
052;L1;0.2
053;L1;0.5
054;L1;0.2
055;L1;0.2
056;L1;1.1
057;L1;0.1
06;L1;1.5
061;L1;0.9
062;L1;0.6
063;L1;0.1
064;L1;0.0
07;L1;11.4
071;L1;2.9
072;L1;4.9
073;L1;2.6
074;L1;1.0
08;L1;3.9
081;L1;3.9
09;L1;6.7
091;L1;1.1
092;L1;0.0
093;L1;1.5
094;L1;2.5
095;L1;0.8
096;L1;0.3
097;L1;0.4
10;L1;1.4
101;L1;1.4
11;L1;4.9
111;L1;4.4
112;L1;0.5
12;L1;11.1
121;L1;2.4
123;L1;0.5
124;L1;0.4
125;L1;6.4
126;L1;0.6
