ZEAT;TAUX;EQUIP
0;95.2;1
1;98.6;1
2;99.0;1
3;99.0;1
4;98.5;1
5;98.7;1
7;98.4;1
8;98.7;1
9;98.6;1
TOT;98.6;1
0;66.9;2
1;34.9;2
2;56.0;2
3;49.6;2
4;57.8;2
5;60.7;2
7;60.1;2
8;50.8;2
9;43.0;2
TOT;51.1;2
0;85.4;3
1;92.6;3
2;95.7;3
3;91.4;3
4;95.0;3
5;93.2;3
7;95.0;3
8;95.2;3
9;94.4;3
TOT;93.9;3
0;5.5;4
1;22.5;4
2;39.0;4
3;43.3;4
4;35.9;4
5;42.9;4
7;32.9;4
8;27.0;4
9;23.4;4
TOT;31.6;4
0;14.5;5
1;50.0;5
2;59.4;5
3;48.7;5
4;60.1;5
5;60.7;5
7;62.4;5
8;62.4;5
9;59.5;5
TOT;56.8;5
0;93.8;6
1;97.1;6
2;97.9;6
3;97.4;6
4;98.2;6
5;98.5;6
7;98.6;6
8;98.8;6
9;97.9;6
TOT;97.9;6
0;70.7;7
1;85.1;7
2;89.9;7
3;91.4;7
4;86.4;7
5;87.1;7
7;85.9;7
8;85.6;7
9;86.6;7
TOT;86.6;7
0;45.8;8
1;88.9;8
2;94.1;8
3;88.2;8
4;93.3;8
5;92.6;8
7;92.6;8
8;91.4;8
9;86.1;8
TOT;89.7;8
0;32.9;9
1;7.5;9
2;6.8;9
3;5.1;9
4;8.0;9
5;7.4;9
7;12.4;9
8;10.6;9
9;30.0;9
TOT;11.7;9
0;93.2;10
1;92.2;10
2;96.4;10
3;97.9;10
4;96.2;10
5;94.4;10
7;95.5;10
8;94.9;10
9;95.2;10
TOT;95.0;10
0;24.5;11
1;53.1;11
2;56.7;11
3;53.0;11
4;57.3;11
5;56.4;11
7;54.6;11
8;54.8;11
9;48.3;11
TOT;53.4;11
0;29.0;12
1;46.5;12
2;47.6;12
3;42.7;12
4;46.2;12
5;48.2;12
7;45.3;12
8;44.8;12
9;40.5;12
TOT;45.1;12
0;4.3;13
1;13.5;13
2;12.2;13
3;12.5;13
4;10.3;13
5;12.9;13
7;11.0;13
8;10.9;13
9;11.2;13
TOT;11.8;13
0;52.8;14
1;68.7;14
2;59.0;14
3;60.8;14
4;63.8;14
5;62.3;14
7;60.7;14
8;63.4;14
9;58.9;14
TOT;62.2;14
0;18.2;15
1;36.5;15
2;37.8;15
3;33.7;15
4;36.6;15
5;39.2;15
7;39.3;15
8;34.7;15
9;36.6;15
TOT;36.5;15
0;91.0;16
1;94.7;16
2;91.1;16
3;92.4;16
4;93.7;16
5;92.6;16
7;93.9;16
8;94.8;16
9;93.8;16
TOT;93.3;16
0;30.9;17
1;47.6;17
2;41.5;17
3;43.4;17
4;40.8;17
5;41.5;17
7;39.9;17
8;43.5;17
9;39.0;17
TOT;42.1;17
0;23.3;18
1;54.5;18
2;56.2;18
3;49.3;18
4;52.9;18
5;58.6;18
7;55.5;18
8;57.2;18
9;48.2;18
TOT;53.7;18
0;5.2;19
1;18.5;19
2;17.0;19
3;15.0;19
4;17.6;19
5;16.1;19
7;15.9;19
8;16.7;19
9;14.5;19
TOT;16.3;19
0;12.2;20
1;26.2;20
2;60.1;20
3;54.8;20
4;47.8;20
5;63.6;20
7;57.0;20
8;43.0;20
9;27.1;20
TOT;45.3;20
0;0.3;21
1;3.5;21
2;16.1;21
3;7.7;21
4;13.3;21
5;16.6;21
7;20.0;21
8;11.8;21
9;8.6;21
TOT;11.7;21
0;60.5;22
1;65.1;22
2;49.6;22
3;56.5;22
4;64.2;22
5;51.8;22
7;52.5;22
8;60.6;22
9;56.1;22
TOT;57.1;22
0;44.3;23
1;75.5;23
2;64.3;23
3;65.8;23
4;65.9;23
5;69.3;23
7;70.0;23
8;66.3;23
9;66.0;23
TOT;67.7;23
0;19.6;24
1;36.3;24
2;29.1;24
3;38.4;24
4;40.8;24
5;36.3;24
7;30.2;24
8;32.3;24
9;31.3;24
TOT;33.4;24
0;20.3;25
1;32.4;25
2;31.0;25
3;33.9;25
4;31.8;25
5;39.2;25
7;35.6;25
8;38.6;25
9;29.6;25
TOT;33.6;25
0;5.0;26
1;8.4;26
2;8.3;26
3;7.2;26
4;9.2;26
5;14.9;26
7;14.3;26
8;13.4;26
9;9.3;26
TOT;10.5;26
0;1.3;27
1;9.2;27
2;5.7;27
3;4.6;27
4;5.0;27
5;6.4;27
7;6.3;27
8;8.7;27
9;6.7;27
TOT;6.7;27
0;4.1;28
1;23.5;28
2;28.4;28
3;21.8;28
4;29.9;28
5;33.7;28
7;31.8;28
8;30.0;28
9;23.6;28
TOT;27.3;28
0;1.0;29
1;3.4;29
2;4.4;29
3;4.1;29
4;5.8;29
5;10.9;29
7;6.5;29
8;10.2;29
9;5.8;29
TOT;6.2;29
0;66.4;30
1;62.7;30
2;84.3;30
3;80.4;30
4;86.1;30
5;86.3;30
7;87.9;30
8;85.7;30
9;83.8;30
TOT;80.7;30
0;23.3;31
1;18.8;31
2;39.7;31
3;33.9;31
4;40.2;31
5;40.6;31
7;41.6;31
8;39.9;31
9;35.1;31
TOT;35.0;31
0;6.0;32
1;7.0;32
2;11.0;32
3;8.5;32
4;10.1;32
5;10.8;32
7;12.9;32
8;11.0;32
9;13.3;32
TOT;10.4;32
0;23.8;33
1;41.3;33
2;55.4;33
3;49.8;33
4;59.3;33
5;60.1;33
7;53.5;33
8;52.5;33
9;41.7;33
TOT;50.4;33
