AGPR;TAUX;EQUIP
1;98.1;1
2;98.6;1
3;98.3;1
4;98.3;1
5;98.7;1
6;98.8;1
7;99.2;1
TOT;98.6;1
1;14.9;2
2;33.8;2
3;46.9;2
4;55.6;2
5;59.9;2
6;62.8;2
7;55.4;2
TOT;51.1;2
1;67.1;3
2;93.0;3
3;94.5;3
4;95.2;3
5;96.1;3
6;95.8;3
7;95.9;3
TOT;93.9;3
1;6.9;4
2;23.8;4
3;38.8;4
4;40.7;4
5;38.1;4
6;31.9;4
7;16.3;4
TOT;31.6;4
1;16.4;5
2;50.5;5
3;62.1;5
4;63.0;5
5;61.8;5
6;61.6;5
7;49.0;5
TOT;56.8;5
1;96.3;6
2;97.0;6
3;98.1;6
4;97.9;6
5;98.8;6
6;98.2;6
7;97.7;6
TOT;97.9;6
1;87.6;7
2;87.6;7
3;87.0;7
4;90.1;7
5;88.2;7
6;85.5;7
7;78.7;7
TOT;86.6;7
1;72.8;8
2;88.8;8
3;90.7;8
4;89.8;8
5;92.3;8
6;91.7;8
7;89.1;8
TOT;89.7;8
1;6.9;9
2;10.1;9
3;13.1;9
4;13.1;9
5;11.4;9
6;12.9;9
7;10.2;9
TOT;11.7;9
1;85.2;10
2;91.1;10
3;93.7;10
4;96.0;10
5;96.2;10
6;97.3;10
7;97.9;10
TOT;95.0;10
1;19.7;11
2;45.4;11
3;58.7;11
4;59.4;11
5;62.1;11
6;57.3;11
7;41.6;11
TOT;53.4;11
1;27.4;12
2;36.3;12
3;45.9;12
4;51.5;12
5;52.4;12
6;49.8;12
7;34.9;12
TOT;45.1;12
1;4.4;13
2;11.1;13
3;18.9;13
4;13.8;13
5;12.4;13
6;9.6;13
7;4.2;13
TOT;11.8;13
1;86.5;14
2;76.3;14
3;74.8;14
4;72.1;14
5;62.2;14
6;48.9;14
7;24.5;14
TOT;62.2;14
1;15.6;15
2;31.1;15
3;39.8;15
4;46.1;15
5;44.3;15
6;38.4;15
7;18.6;15
TOT;36.5;15
1;98.8;16
2;98.8;16
3;98.0;16
4;97.5;16
5;95.2;16
6;92.8;16
7;72.3;16
TOT;93.3;16
1;32.1;17
2;51.4;17
3;59.3;17
4;50.8;17
5;39.5;17
6;32.0;17
7;15.7;17
TOT;42.1;17
1;33.6;18
2;56.8;18
3;63.6;18
4;59.7;18
5;59.3;18
6;52.9;18
7;29.0;18
TOT;53.7;18
1;17.4;19
2;21.6;19
3;27.4;19
4;22.0;19
5;13.1;19
6;7.2;19
7;2.1;19
TOT;16.3;19
1;6.3;20
2;26.5;20
3;42.5;20
4;49.4;20
5;56.2;20
6;55.6;20
7;49.1;20
TOT;45.3;20
1;0.3;21
2;3.0;21
3;6.3;21
4;10.8;21
5;17.6;21
6;19.4;21
7;16.8;21
TOT;11.7;21
1;53.9;22
2;66.5;22
3;68.1;22
4;63.5;22
5;57.2;22
6;51.6;22
7;31.1;22
TOT;57.1;22
1;66.2;23
2;77.4;23
3;79.4;23
4;74.8;23
5;70.5;23
6;63.4;23
7;33.9;23
TOT;67.7;23
1;40.6;24
2;45.3;24
3;42.9;24
4;40.5;24
5;32.2;24
6;23.3;24
7;9.1;24
TOT;33.4;24
1;30.3;25
2;40.7;25
3;51.6;25
4;41.7;25
5;27.7;25
6;23.5;25
7;11.4;25
TOT;33.6;25
1;2.8;26
2;5.3;26
3;10.2;26
4;9.6;26
5;9.3;26
6;15.5;26
7;16.3;26
TOT;10.5;26
1;8.6;27
2;7.5;27
3;7.7;27
4;8.0;27
5;6.6;27
6;6.4;27
7;3.0;27
TOT;6.7;27
1;5.3;28
2;13.4;28
3;19.2;28
4;21.9;28
5;29.8;28
6;42.2;28
7;47.0;28
TOT;27.3;28
1;3.6;29
2;4.0;29
3;7.4;29
4;6.7;29
5;6.2;29
6;8.1;29
7;5.3;29
TOT;6.2;29
1;58.1;30
2;78.1;30
3;84.4;30
4;86.0;30
5;86.8;30
6;84.3;30
7;66.2;30
TOT;80.7;30
1;20.6;31
2;35.5;31
3;41.2;31
4;44.5;31
5;40.6;31
6;32.3;31
7;13.5;31
TOT;35.0;31
1;10.9;32
2;11.2;32
3;13.6;32
4;17.2;32
5;11.9;32
6;3.9;32
7;0.8;32
TOT;10.4;32
1;24.8;33
2;50.0;33
3;67.7;33
4;62.0;33
5;54.6;33
6;42.1;33
7;23.7;33
TOT;50.4;33
