CSPR;TAUX;EQUIP
1;97.1;1
2;98.9;1
3;99.1;1
4;98.4;1
5;98.9;1
6;97.6;1
7;99.1;1
8;96.7;1
TOT;98.6;1
1;83.9;2
2;53.0;2
3;41.9;2
4;46.6;2
5;45.0;2
6;53.4;2
7;60.1;2
8;34.5;2
TOT;51.1;2
1;92.8;3
2;95.6;3
3;95.8;3
4;96.2;3
5;93.2;3
6;91.9;3
7;95.8;3
8;78.4;3
TOT;93.9;3
1;45.4;4
2;46.6;4
3;39.1;4
4;36.6;4
5;29.1;4
6;33.1;4
7;27.2;4
8;14.6;4
TOT;31.6;4
1;73.8;5
2;72.0;5
3;73.6;5
4;62.9;5
5;48.9;5
6;50.0;5
7;56.5;5
8;25.0;5
TOT;56.8;5
1;98.3;6
2;98.3;6
3;98.6;6
4;98.2;6
5;97.5;6
6;97.4;6
7;98.1;6
8;96.9;6
TOT;97.9;6
1;84.8;7
2;85.2;7
3;86.0;7
4;88.4;7
5;90.7;7
6;90.1;7
7;83.9;7
8;81.1;7
TOT;86.6;7
1;87.0;8
2;92.8;8
3;95.5;8
4;93.4;8
5;87.2;8
6;85.9;8
7;90.9;8
8;73.6;8
TOT;89.7;8
1;9.1;9
2;19.2;9
3;15.6;9
4;13.4;9
5;9.2;9
6;8.9;9
7;11.4;9
8;8.2;9
TOT;11.7;9
1;93.5;10
2;94.5;10
3;90.3;10
4;93.4;10
5;96.5;10
6;96.7;10
7;97.3;10
8;89.3;10
TOT;95.0;10
1;52.7;11
2;57.8;11
3;62.8;11
4;56.8;11
5;51.7;11
6;52.0;11
7;52.5;11
8;32.7;11
TOT;53.4;11
1;40.0;12
2;47.8;12
3;58.5;12
4;50.1;12
5;40.2;12
6;38.7;12
7;44.7;12
8;28.9;12
TOT;45.1;12
1;10.9;13
2;18.3;13
3;19.4;13
4;16.5;13
5;11.4;13
6;10.3;13
7;7.6;13
8;5.3;13
TOT;11.8;13
1;57.4;14
2;75.2;14
3;84.5;14
4;80.1;14
5;69.3;14
6;63.0;14
7;41.9;14
8;54.6;14
TOT;62.2;14
1;47.9;15
2;39.7;15
3;45.7;15
4;43.7;15
5;35.2;15
6;38.6;15
7;31.6;15
8;18.1;15
TOT;36.5;15
1;92.4;16
2;97.8;16
3;97.6;16
4;98.6;16
5;98.3;16
6;97.6;16
7;86.0;16
8;87.1;16
TOT;93.3;16
1;34.9;17
2;56.1;17
3;63.0;17
4;56.6;17
5;46.1;17
6;43.0;17
7;26.6;17
8;24.8;17
TOT;42.1;17
1;60.2;18
2;60.0;18
3;76.9;18
4;67.9;18
5;49.2;18
6;47.9;18
7;45.7;18
8;27.0;18
TOT;53.7;18
1;9.6;19
2;17.9;19
3;30.8;19
4;26.6;19
5;17.8;19
6;15.9;19
7;5.9;19
8;12.4;19
TOT;16.3;19
1;64.0;20
2;50.1;20
3;49.7;20
4;45.0;20
5;31.3;20
6;42.8;20
7;53.8;20
8;18.9;20
TOT;45.3;20
1;34.1;21
2;9.9;21
3;7.6;21
4;8.2;21
5;6.2;21
6;10.9;21
7;18.5;21
8;3.8;21
TOT;11.7;21
1;34.9;22
2;61.1;22
3;71.9;22
4;67.6;22
5;64.0;22
6;61.3;22
7;44.6;22
8;42.2;22
TOT;57.1;22
1;65.9;23
2;72.6;23
3;84.9;23
4;81.1;23
5;73.7;23
6;69.2;23
7;54.1;23
8;49.8;23
TOT;67.7;23
1;28.5;24
2;36.3;24
3;42.8;24
4;45.2;24
5;38.4;24
6;42.4;24
7;19.9;24
8;23.3;24
TOT;33.4;24
1;27.5;25
2;41.2;25
3;58.2;25
4;47.9;25
5;36.4;25
6;30.3;25
7;19.4;25
8;17.4;25
TOT;33.6;25
1;6.3;26
2;8.7;26
3;15.1;26
4;9.6;26
5;5.2;26
6;4.5;26
7;15.2;26
8;4.7;26
TOT;10.5;26
1;4.4;27
2;6.5;27
3;13.2;27
4;9.9;27
5;6.0;27
6;3.1;27
7;5.1;27
8;3.8;27
TOT;6.7;27
1;33.6;28
2;19.9;28
3;32.6;28
4;22.7;28
5;14.1;28
6;12.7;28
7;42.1;28
8;12.3;28
TOT;27.3;28
1;2.6;29
2;4.3;29
3;9.3;29
4;7.4;29
5;4.8;29
6;3.6;29
7;7.0;29
8;3.6;29
TOT;6.2;29
1;96.0;30
2;87.3;30
3;85.2;30
4;88.7;30
5;80.7;30
6;86.2;30
7;78.1;30
8;43.2;30
TOT;80.7;30
1;45.4;31
2;38.4;31
3;44.1;31
4;47.0;31
5;32.8;31
6;44.4;31
7;26.5;31
8;9.7;31
TOT;35.0;31
1;12.2;32
2;16.5;32
3;13.3;32
4;15.6;32
5;10.0;32
6;17.9;32
7;4.1;32
8;4.0;32
TOT;10.4;32
1;56.8;33
2;60.6;33
3;69.0;33
4;63.2;33
5;49.1;33
6;56.2;33
7;37.9;33
8;25.8;33
TOT;50.4;33
