STRATE;TAUX;EQUIP
0;98.9;1
1;98.3;1
2;98.1;1
3;98.8;1
4;98.5;1
TOT;98.6;1
0;75.4;2
1;62.6;2
2;50.5;2
3;38.3;2
4;32.2;2
TOT;51.1;2
0;97.2;3
1;96.3;3
2;93.2;3
3;91.6;3
4;92.1;3
TOT;93.9;3
0;43.5;4
1;38.5;4
2;31.9;4
3;25.3;4
4;20.1;4
TOT;31.6;4
0;70.6;5
1;64.0;5
2;54.7;5
3;48.9;5
4;48.1;5
TOT;56.8;5
0;98.6;6
1;98.4;6
2;97.4;6
3;98.0;6
4;96.9;6
TOT;97.9;6
0;88.4;7
1;88.1;7
2;87.6;7
3;85.2;7
4;84.2;7
TOT;86.6;7
0;94.2;8
1;92.1;8
2;89.6;8
3;86.2;8
4;88.3;8
TOT;89.7;8
0;10.6;9
1;13.9;9
2;11.2;9
3;13.8;9
4;7.0;9
TOT;11.7;9
0;96.7;10
1;96.6;10
2;96.1;10
3;94.1;10
4;91.4;10
TOT;95.0;10
0;59.1;11
1;56.4;11
2;51.8;11
3;49.4;11
4;52.1;11
TOT;53.4;11
0;49.3;12
1;45.1;12
2;43.4;12
3;42.6;12
4;46.0;12
TOT;45.1;12
0;14.1;13
1;11.7;13
2;11.1;13
3;10.0;13
4;12.7;13
TOT;11.8;13
0;59.6;14
1;58.0;14
2;60.2;14
3;64.0;14
4;68.7;14
TOT;62.2;14
0;41.0;15
1;39.4;15
2;35.2;15
3;33.0;15
4;35.4;15
TOT;36.5;15
0;92.1;16
1;92.2;16
2;92.9;16
3;94.3;16
4;94.7;16
TOT;93.3;16
0;41.2;17
1;40.2;17
2;40.3;17
3;41.7;17
4;47.9;17
TOT;42.1;17
0;60.6;18
1;53.8;18
2;52.0;18
3;49.7;18
4;53.8;18
TOT;53.7;18
0;16.2;19
1;16.5;19
2;13.0;19
3;16.7;19
4;18.2;19
TOT;16.3;19
0;75.7;20
1;58.7;20
2;45.2;20
3;29.5;20
4;21.5;20
TOT;45.3;20
0;28.5;21
1;15.2;21
2;9.0;21
3;4.5;21
4;2.3;21
TOT;11.7;21
0;43.2;22
1;55.1;22
2;55.3;22
3;63.8;22
4;65.7;22
TOT;57.1;22
0;61.4;23
1;64.6;23
2;66.9;23
3;69.8;23
4;76.0;23
TOT;67.7;23
0;36.5;24
1;32.1;24
2;28.9;24
3;31.7;24
4;38.1;24
TOT;33.4;24
0;32.2;25
1;34.6;25
2;31.9;25
3;35.6;25
4;31.6;25
TOT;33.6;25
0;13.2;26
1;10.7;26
2;11.3;26
3;9.6;26
4;8.0;26
TOT;10.5;26
0;4.1;27
1;4.5;27
2;6.5;27
3;8.3;27
4;9.8;27
TOT;6.7;27
0;34.6;28
1;28.9;28
2;26.6;28
3;23.9;28
4;23.2;28
TOT;27.3;28
0;6.0;29
1;6.3;29
2;7.7;29
3;7.2;29
4;3.2;29
TOT;6.2;29
0;93.2;30
1;88.1;30
2;86.1;30
3;76.3;30
4;59.5;30
TOT;80.7;30
0;53.9;31
1;42.8;31
2;33.8;31
3;28.2;31
4;15.9;31
TOT;35.0;31
0;13.7;32
1;11.6;32
2;9.0;32
3;10.0;32
4;6.7;32
TOT;10.4;32
0;62.5;33
1;56.8;33
2;47.9;33
3;45.2;33
4;39.5;33
TOT;50.4;33
