TYPMEN;TAUX;EQUIP
1;98.1;1
2;98.4;1
3;98.8;1
4;99.0;1
5;98.8;1
TOT;98.6;1
1;33.7;2
2;42.5;2
3;64.0;2
4;63.6;2
5;61.5;2
TOT;51.1;2
1;87.0;3
2;95.8;3
3;97.9;3
4;98.6;3
5;93.3;3
TOT;93.9;3
1;14.5;4
2;27.1;4
3;37.2;4
4;50.6;4
5;27.0;4
TOT;31.6;4
1;34.8;5
2;44.0;5
3;71.3;5
4;77.4;5
5;46.3;5
TOT;56.8;5
1;96.8;6
2;97.9;6
3;98.7;6
4;98.7;6
5;96.8;6
TOT;97.9;6
1;80.1;7
2;88.4;7
3;88.2;7
4;92.5;7
5;90.1;7
TOT;86.6;7
1;84.4;8
2;84.3;8
3;95.1;8
4;94.1;8
5;83.0;8
TOT;89.7;8
1;8.9;9
2;7.3;9
3;14.4;9
4;14.3;9
5;11.4;9
TOT;11.7;9
1;91.5;10
2;95.8;10
3;96.8;10
4;97.5;10
5;94.7;10
TOT;95.0;10
1;43.5;11
2;49.3;11
3;59.0;11
4;63.1;11
5;48.1;11
TOT;53.4;11
1;38.2;12
2;37.4;12
3;51.9;12
4;50.6;12
5;40.9;12
TOT;45.1;12
1;4.4;13
2;7.6;13
3;12.0;13
4;22.4;13
5;14.1;13
TOT;11.8;13
1;48.8;14
2;65.5;14
3;62.2;14
4;78.8;14
5;62.7;14
TOT;62.2;14
1;22.6;15
2;31.5;15
3;43.4;15
4;49.7;15
5;38.6;15
TOT;36.5;15
1;86.8;16
2;96.6;16
3;95.3;16
4;98.7;16
5;96.3;16
TOT;93.3;16
1;22.2;17
2;43.5;17
3;43.4;17
4;66.6;17
5;41.7;17
TOT;42.1;17
1;35.7;18
2;40.3;18
3;65.1;18
4;72.0;18
5;42.1;18
TOT;53.7;18
1;8.8;19
2;17.0;19
3;13.2;19
4;28.9;19
5;16.5;19
TOT;16.3;19
1;26.8;20
2;27.7;20
3;61.7;20
4;59.9;20
5;42.7;20
TOT;45.3;20
1;6.6;21
2;4.1;21
3;21.7;21
4;11.3;21
5;12.7;21
TOT;11.7;21
1;45.0;22
2;63.7;22
3;58.3;22
4;69.9;22
5;54.5;22
TOT;57.1;22
1;55.8;23
2;73.2;23
3;70.8;23
4;79.1;23
5;61.3;23
TOT;67.7;23
1;24.1;24
2;38.6;24
3;32.1;24
4;45.0;24
5;34.8;24
TOT;33.4;24
1;18.6;25
2;37.7;25
3;30.3;25
4;55.4;25
5;30.4;25
TOT;33.6;25
1;8.0;26
2;6.6;26
3;14.4;26
4;11.8;26
5;6.5;26
TOT;10.5;26
1;6.7;27
2;6.6;27
3;6.5;27
4;6.9;27
5;7.6;27
TOT;6.7;27
1;24.8;28
2;16.1;28
3;37.8;28
4;24.5;28
5;23.9;28
TOT;27.3;28
1;4.3;29
2;6.5;29
3;6.9;29
4;8.3;29
5;4.2;29
TOT;6.2;29
1;63.6;30
2;72.4;30
3;93.2;30
4;94.6;30
5;73.7;30
TOT;80.7;30
1;4.1;31
2;14.8;31
3;52.9;31
4;64.7;31
5;41.4;31
TOT;35.0;31
1;4.7;32
2;7.2;32
3;10.7;32
4;18.7;32
5;10.2;32
TOT;10.4;32
1;29.6;33
2;50.1;33
3;54.0;33
4;75.1;33
5;43.8;33
TOT;50.4;33
