DECUC;TAUX;EQUIP
1;97.1;1
10;99.4;1
2;97.8;1
3;98.5;1
4;99.1;1
5;99.4;1
6;98.9;1
7;98.8;1
8;98.5;1
9;98.5;1
TOT;98.6;1
1;42.2;2
10;50.3;2
2;47.5;2
3;50.1;2
4;53.0;2
5;53.0;2
6;56.5;2
7;52.6;2
8;54.0;2
9;52.2;2
TOT;51.1;2
1;81.2;3
10;98.2;3
2;91.7;3
3;92.5;3
4;95.1;3
5;94.5;3
6;96.9;3
7;95.7;3
8;97.2;3
9;96.3;3
TOT;93.9;3
1;16.7;4
10;43.9;4
2;23.0;4
3;25.9;4
4;29.2;4
5;31.2;4
6;34.2;4
7;36.2;4
8;34.9;4
9;40.2;4
TOT;31.6;4
1;31.4;5
10;81.5;5
2;35.4;5
3;44.7;5
4;50.5;5
5;55.3;5
6;60.7;5
7;64.1;5
8;70.4;5
9;74.1;5
TOT;56.8;5
1;96.5;6
10;99.1;6
2;96.8;6
3;97.4;6
4;98.1;6
5;97.8;6
6;98.6;6
7;98.1;6
8;98.4;6
9;98.5;6
TOT;97.9;6
1;80.6;7
10;86.8;7
2;84.9;7
3;85.1;7
4;89.0;7
5;88.2;7
6;88.9;7
7;87.9;7
8;87.4;7
9;86.8;7
TOT;86.6;7
1;74.0;8
10;97.4;8
2;80.8;8
3;86.4;8
4;90.2;8
5;91.1;8
6;94.4;8
7;93.8;8
8;93.7;8
9;95.4;8
TOT;89.7;8
1;7.8;9
10;17.7;9
2;7.7;9
3;9.0;9
4;9.5;9
5;12.0;9
6;11.1;9
7;11.3;9
8;14.9;9
9;15.9;9
TOT;11.7;9
1;89.2;10
10;94.2;10
2;95.4;10
3;96.1;10
4;96.9;10
5;95.7;10
6;95.2;10
7;96.2;10
8;95.7;10
9;94.8;10
TOT;95.0;10
1;34.9;11
10;67.4;11
2;38.2;11
3;47.7;11
4;51.5;11
5;52.2;11
6;56.6;11
7;60.3;11
8;61.3;11
9;64.2;11
TOT;53.4;11
1;31.8;12
10;63.8;12
2;30.3;12
3;35.9;12
4;40.7;12
5;43.9;12
6;45.9;12
7;49.7;12
8;50.9;12
9;57.9;12
TOT;45.1;12
1;5.9;13
10;19.4;13
2;6.7;13
3;7.4;13
4;9.6;13
5;11.4;13
6;13.3;13
7;15.1;13
8;12.1;13
9;16.5;13
TOT;11.8;13
1;54.7;14
10;78.1;14
2;49.2;14
3;50.7;14
4;53.2;14
5;60.0;14
6;64.4;14
7;65.8;14
8;72.5;14
9;73.5;14
TOT;62.2;14
1;27.3;15
10;49.4;15
2;27.8;15
3;30.1;15
4;32.1;15
5;33.9;15
6;39.1;15
7;39.5;15
8;40.6;15
9;45.1;15
TOT;36.5;15
1;92.9;16
10;96.0;16
2;88.2;16
3;87.9;16
4;91.1;16
5;93.3;16
6;94.7;16
7;95.6;16
8;96.8;16
9;97.0;16
TOT;93.3;16
1;28.6;17
10;62.5;17
2;30.8;17
3;31.0;17
4;34.2;17
5;39.8;17
6;41.1;17
7;45.7;17
8;52.4;17
9;54.6;17
TOT;42.1;17
1;29.2;18
10;76.7;18
2;33.3;18
3;40.4;18
4;46.1;18
5;51.0;18
6;57.0;18
7;62.7;18
8;68.3;18
9;71.7;18
TOT;53.7;18
1;10.7;19
10;23.2;19
2;10.0;19
3;12.3;19
4;13.0;19
5;16.2;19
6;16.1;19
7;18.6;19
8;19.9;19
9;22.6;19
TOT;16.3;19
1;21.1;20
10;58.9;20
2;26.7;20
3;37.0;20
4;42.3;20
5;47.2;20
6;53.4;20
7;53.7;20
8;55.2;20
9;57.4;20
TOT;45.3;20
1;5.4;21
10;12.6;21
2;9.0;21
3;10.1;21
4;12.7;21
5;13.8;21
6;14.0;21
7;14.4;21
8;12.4;21
9;12.9;21
TOT;11.7;21
1;46.6;22
10;72.3;22
2;48.3;22
3;48.7;22
4;52.8;22
5;54.9;22
6;57.3;22
7;60.1;22
8;64.6;22
9;65.0;22
TOT;57.1;22
1;57.8;23
10;82.3;23
2;56.6;23
3;58.3;23
4;62.7;23
5;64.5;23
6;69.7;23
7;72.8;23
8;74.7;23
9;77.5;23
TOT;67.7;23
1;29.1;24
10;41.8;24
2;25.3;24
3;27.1;24
4;27.8;24
5;33.0;24
6;35.5;24
7;33.5;24
8;41.4;24
9;39.2;24
TOT;33.4;24
1;19.0;25
10;50.1;25
2;19.2;25
3;25.5;25
4;29.0;25
5;32.3;25
6;33.0;25
7;39.3;25
8;43.1;25
9;45.1;25
TOT;33.6;25
1;3.9;26
10;19.6;26
2;7.2;26
3;8.1;26
4;7.8;26
5;9.8;26
6;11.3;26
7;10.9;26
8;11.6;26
9;15.1;26
TOT;10.5;26
1;3.2;27
10;12.8;27
2;3.9;27
3;4.4;27
4;4.5;27
5;5.6;27
6;6.9;27
7;7.7;27
8;7.4;27
9;10.9;27
TOT;6.7;27
1;11.7;28
10;42.4;28
2;15.0;28
3;19.7;28
4;26.0;28
5;26.7;28
6;28.3;28
7;31.8;28
8;33.4;28
9;37.8;28
TOT;27.3;28
1;4.2;29
10;8.6;29
2;4.7;29
3;5.4;29
4;4.2;29
5;6.5;29
6;5.5;29
7;6.9;29
8;7.5;29
9;8.8;29
TOT;6.2;29
1;59.4;30
10;87.8;30
2;66.3;30
3;74.0;30
4;79.1;30
5;85.2;30
6;87.2;30
7;88.0;30
8;89.9;30
9;89.8;30
TOT;80.7;30
1;12.9;31
10;49.4;31
2;18.9;31
3;23.9;31
4;29.4;31
5;35.4;31
6;39.3;31
7;44.0;31
8;49.5;31
9;47.4;31
TOT;35.0;31
1;5.8;32
10;15.8;32
2;6.7;32
3;8.2;32
4;9.7;32
5;9.8;32
6;10.5;32
7;11.7;32
8;13.9;32
9;11.8;32
TOT;10.4;32
1;33.8;33
10;64.2;33
2;37.3;33
3;44.2;33
4;44.3;33
5;50.5;33
6;53.0;33
7;55.7;33
8;59.8;33
9;60.9;33
TOT;50.4;33
