STATUT;TAUX;EQUIP
P1;97.7;1
P2;99.3;1
P3;99.3;1
P4;99.1;1
P5;99.0;1
P;99.0;1
L1;97.2;1
L2;98.2;1
L3;98.8;1
L4;97.7;1
L5;98.5;1
L;98.0;1
TOT;98.6;1
P1;62.2;2
P2;67.9;2
P3;69.1;2
P4;64.5;2
P5;58.9;2
P;64.2;2
L1;34.5;2
L2;34.3;2
L3;31.3;2
L4;25.1;2
L5;20.4;2
L;31.0;2
TOT;51.1;2
P1;93.3;3
P2;97.0;3
P3;98.1;3
P4;98.5;3
P5;98.3;3
P;97.5;3
L1;82.3;3
L2;90.3;3
L3;91.8;3
L4;91.2;3
L5;93.1;3
L;88.5;3
TOT;93.9;3
P1;29.6;4
P2;36.3;4
P3;40.0;4
P4;42.6;4
P5;48.3;4
P;40.9;4
L1;14.0;4
L2;18.2;4
L3;20.7;4
L4;17.8;4
L5;17.2;4
L;17.2;4
TOT;31.6;4
P1;53.8;5
P2;63.4;5
P3;70.8;5
P4;78.6;5
P5;84.8;5
P;73.0;5
L1;21.1;5
L2;30.8;5
L3;37.1;5
L4;38.6;5
L5;49.5;5
L;32.0;5
TOT;56.8;5
P1;97.4;6
P2;98.6;6
P3;98.8;6
P4;99.3;6
P5;99.4;6
P;98.9;6
L1;96.2;6
L2;96.7;6
L3;97.2;6
L4;95.6;6
L5;96.4;6
L;96.5;6
TOT;97.9;6
P1;80.4;7
P2;87.3;7
P3;89.9;7
P4;88.6;7
P5;88.9;7
P;87.7;7
L1;84.2;7
L2;86.7;7
L3;86.3;7
L4;85.4;7
L5;78.3;7
L;84.8;7
TOT;86.6;7
P1;83.9;8
P2;93.2;8
P3;95.9;8
P4;96.7;8
P5;97.8;8
P;94.7;8
L1;73.6;8
L2;83.0;8
L3;87.5;8
L4;86.2;8
L5;90.8;8
L;82.2;8
TOT;89.7;8
P1;13.6;9
P2;12.0;9
P3;13.6;9
P4;15.8;9
P5;18.1;9
P;15.0;9
L1;4.3;9
L2;6.3;9
L3;8.2;9
L4;6.3;9
L5;11.9;9
L;6.6;9
TOT;11.7;9
P1;93.8;10
P2;98.0;10
P3;97.4;10
P4;97.0;10
P5;96.6;10
P;96.8;10
L1;91.4;10
L2;94.9;10
L3;92.3;10
L4;93.4;10
L5;86.2;10
L;92.2;10
TOT;95.0;10
P1;42.6;11
P2;55.2;11
P3;58.6;11
P4;65.2;11
P5;69.7;11
P;60.6;11
L1;32.9;11
L2;43.6;11
L3;47.5;11
L4;49.6;11
L5;50.1;11
L;42.5;11
TOT;53.4;11
P1;36.2;12
P2;43.8;12
P3;49.3;12
P4;54.6;12
P5;63.9;12
P;51.9;12
L1;28.0;12
L2;32.5;12
L3;37.7;12
L4;39.3;12
L5;48.7;12
L;34.7;12
TOT;45.1;12
P1;8.1;13
P2;10.1;13
P3;14.3;13
P4;15.7;13
P5;18.9;13
P;14.4;13
L1;5.2;13
L2;6.8;13
L3;9.2;13
L4;8.5;13
L5;14.2;13
L;7.7;13
TOT;11.8;13
P1;49.8;14
P2;48.9;14
P3;59.1;14
P4;67.7;14
P5;74.4;14
P;62.3;14
L1;53.3;14
L2;55.2;14
L3;67.2;14
L4;72.8;14
L5;81.4;14
L;62.1;14
TOT;62.2;14
P1;32.4;15
P2;33.8;15
P3;41.2;15
P4;43.8;15
P5;50.1;15
P;41.8;15
L1;24.6;15
L2;28.2;15
L3;28.8;15
L4;30.8;15
L5;35.7;15
L;28.3;15
TOT;36.5;15
P1;87.3;16
P2;86.2;16
P3;93.4;16
P4;96.2;16
P5;96.1;16
P;92.8;16
L1;92.5;16
L2;93.0;16
L3;94.9;16
L4;96.2;16
L5;97.8;16
L;94.1;16
TOT;93.3;16
P1;29.8;17
P2;33.7;17
P3;41.3;17
P4;50.8;17
P5;59.8;17
P;45.7;17
L1;29.7;17
L2;31.4;17
L3;39.1;17
L4;44.8;17
L5;53.7;17
L;36.5;17
TOT;42.1;17
P1;40.4;18
P2;48.9;18
P3;58.5;18
P4;70.6;18
P5;76.1;18
P;62.2;18
L1;25.8;18
L2;37.2;18
L3;46.6;18
L4;52.8;18
L5;66.4;18
L;40.6;18
TOT;53.7;18
P1;10.5;19
P2;13.0;19
P3;15.5;19
P4;19.6;19
P5;22.6;19
P;17.3;19
L1;10.2;19
L2;12.3;19
L3;17.1;19
L4;18.4;19
L5;24.0;19
L;14.7;19
TOT;16.3;19
P1;47.2;20
P2;62.4;20
P3;69.4;20
P4;69.2;20
P5;68.9;20
P;65.3;20
L1;9.9;20
L2;15.5;20
L3;19.1;20
L4;17.0;20
L5;14.7;20
L;14.6;20
TOT;45.3;20
P1;15.6;21
P2;21.0;21
P3;20.9;21
P4;18.2;21
P5;15.5;21
P;18.2;21
L1;2.2;21
L2;1.2;21
L3;2.5;21
L4;1.5;21
L5;1.5;21
L;1.8;21
TOT;11.7;21
P1;40.8;22
P2;45.0;22
P3;54.1;22
P4;59.9;22
P5;68.9;22
P;56.2;22
L1;51.4;22
L2;56.9;22
L3;59.4;22
L4;68.5;22
L5;67.9;22
L;58.4;22
TOT;57.1;22
P1;53.9;23
P2;56.7;23
P3;65.8;23
P4;73.7;23
P5;79.6;23
P;68.3;23
L1;59.2;23
L2;64.5;23
L3;69.1;23
L4;73.9;23
L5;80.8;23
L;66.7;23
TOT;67.7;23
P1;24.8;24
P2;24.6;24
P3;31.6;24
P4;37.2;24
P5;40.5;24
P;33.3;24
L1;28.6;24
L2;30.6;24
L3;38.7;24
L4;38.0;24
L5;40.6;24
L;33.6;24
TOT;33.4;24
P1;20.4;25
P2;28.2;25
P3;35.3;25
P4;43.4;25
P5;49.1;25
P;37.8;25
L1;18.3;25
L2;26.2;25
L3;28.3;25
L4;35.8;25
L5;41.5;25
L;27.0;25
TOT;33.6;25
P1;8.7;26
P2;11.0;26
P3;13.2;26
P4;13.4;26
P5;19.5;26
P;14.0;26
L1;3.6;26
L2;4.7;26
L3;6.2;26
L4;5.8;26
L5;8.7;26
L;5.2;26
TOT;10.5;26
P1;3.4;27
P2;3.8;27
P3;6.0;27
P4;7.6;27
P5;11.2;27
P;7.1;27
L1;3.6;27
L2;5.1;27
L3;6.7;27
L4;7.4;27
L5;14.4;27
L;6.2;27
TOT;6.7;27
P1;22.3;28
P2;28.8;28
P3;32.8;28
P4;37.5;28
P5;43.5;28
P;34.8;28
L1;8.0;28
L2;16.4;28
L3;18.8;28
L4;20.3;28
L5;26.6;28
L;15.8;28
TOT;27.3;28
P1;5.3;29
P2;5.4;29
P3;7.0;29
P4;7.9;29
P5;9.9;29
P;7.5;29
L1;4.0;29
L2;4.1;29
L3;4.4;29
L4;5.4;29
L5;3.6;29
L;4.3;29
TOT;6.2;29
P1;80.2;30
P2;86.1;30
P3;91.9;30
P4;93.5;30
P5;92.7;30
P;90.1;30
L1;52.5;30
L2;66.4;30
L3;76.9;30
L4;77.3;30
L5;72.9;30
L;66.2;30
TOT;80.7;30
P1;28.2;31
P2;37.3;31
P3;46.4;31
P4;53.8;31
P5;54.3;31
P;46.5;31
L1;8.6;31
L2;15.4;31
L3;22.5;31
L4;28.9;31
L5;24.8;31
L;17.5;31
TOT;35.0;31
P1;8.5;32
P2;10.3;32
P3;11.0;32
P4;13.2;32
P5;14.3;32
P;12.0;32
L1;4.9;32
L2;7.5;32
L3;8.9;32
L4;11.7;32
L5;11.6;32
L;8.0;32
TOT;10.4;32
P1;44.3;33
P2;52.5;33
P3;58.5;33
P4;64.0;33
P5;66.4;33
P;59.1;33
L1;30.3;33
L2;35.5;33
L3;40.7;33
L4;42.1;33
L5;46.9;33
L;37.0;33
TOT;50.4;33
