,2023-04,2023-03,2023-02,2023-01,2022-12,2022-11,2022-10,2022-09,2022-08,2022-07,2022-06,2022-05,2022-04,2022-03,2022-02,2022-01,2021-12,2021-11,2021-10,2021-09,2021-08,2021-07,2021-06,2021-05,2021-04,2021-03
const,5.7230489550632235,6.0076151812741845,6.626857212519091,6.298761970543573,5.935376296596851,6.454806079516432,6.385388898647593,5.8028579686276185,6.129986040352087,6.269675226694929,6.287727095517123,5.676791728016731,5.400272521586523,5.197159768119714,4.055545672023586,3.3752597701834257,3.5603077956420863,3.5578779678278556,3.5448101902263636,2.950265625225729,2.7900755477034407,2.085447392742715,2.2907687975588504,2.0975271157261104,1.7697452288236484,1.2775411777401975
NENFANTS,0.11979375981107926,0.13805330645291455,0.11807664988309917,0.09489087952668862,0.09064497794012052,0.08033124689237302,0.07884850115833925,0.056520462698368586,0.051633653122226585,0.015999770044914416,-0.004555192414239323,0.02530887922151907,0.010775935244115964,-0.06242342777572257,-0.0016621631874527663,-0.03258028130726604,0.0005458919686632292,-0.02082848857597333,-0.06520932757409732,-0.04709173871949616,0.002500658604239229,-0.10865179172721678,-0.03848971947009794,-0.04320658021181938,-0.06090480356522584,-0.014889401092030208
Moins de 30 ans,-0.537164000765195,-0.6854593265824798,-0.7144316883357736,-0.6960369136869765,-0.5722144629689621,-0.7051192809731432,-0.7482057818813299,-0.6328762921021198,-0.5907359593621928,-0.6657958171867924,-0.688347451027148,-0.49946902813023963,-0.5227593724353035,-0.5275487066283565,-0.3290139964902775,-0.43242357506059914,-0.2729716451430283,-0.2405954514018597,-0.3689778928777182,-0.29863816426297163,-0.15175704004541468,-0.39493009515096417,-0.079411528575693,-0.06965005892100623,-0.03127163091213407,-0.048637568415169044
De 30 à 44 ans,-0.2431652351153345,-0.3189126620476346,-0.3698989448707771,-0.38877777219232,-0.2682503353715392,-0.3626352264554378,-0.3936603188338491,-0.30569427315389186,-0.2861938307560179,-0.3574155719094393,-0.39983534884887467,-0.2744349788766036,-0.2995615447855079,-0.3347846930945667,-0.19708830768641616,-0.23546273753523433,-0.16174071933156794,-0.14909089693251637,-0.20421405093041478,-0.17612492952702308,-0.0822244728853064,-0.2102061007978539,-0.053090622386511986,-0.02977782357571085,0.009776939313230926,0.025158468057917813
De 60 à 74 ans,0.34563129132220216,0.5911353740279208,0.4957600350730871,0.3350574826143926,0.362165521875197,0.40513629378662835,0.4526179640414728,0.4192257651296508,0.2120408374117597,0.17444493065879485,0.14525020895124602,0.11685705728680447,0.09216778177419249,0.008698316120444971,0.012996488788841042,0.1146509215656061,0.06269936087225417,-0.09624757663871952,-0.03823115144753787,-0.021495396781416938,-0.023048979430249496,0.08686837895310097,-0.16919192404087185,-0.23567634470307022,-0.1895793150547548,-0.0661177954966988
75 ans et plus,0.31181275328759567,0.7349498126926444,0.5823509408801022,0.4051991615263588,0.47632801957275384,0.6516948045641147,0.7878107814331672,0.8751312210206035,0.297220968649008,0.31776550766770495,0.3489806660019343,0.4093983140617248,0.3315272193504357,0.23776494879135668,0.17791498595390684,0.44774118106657534,0.32979892086087526,-0.007423101317739453,0.1252989896557741,0.0520493031743952,-0.012585998239229191,0.26986085154315803,-0.17170982618037628,-0.4150214272676265,-0.31970630305443637,-0.1272300790837182
Rural,0.040874537033075004,0.042796733596417766,-0.045557048408092264,-0.07762414012956324,-0.06197282086471778,-0.08107662929206456,-0.10260117676498746,-0.09694523474862454,-0.16873731611018372,-0.19754818316189193,-0.21454478279554365,-0.15149545724932775,-0.1675193612116802,-0.17412382329677306,-0.08960683753575163,-0.07408845924684493,-0.08627939443523003,-0.12093644347495654,-0.11773374779070185,-0.07257853602426398,-0.053630877477722785,-0.035715167779887314,-0.038737916605218976,-0.06606443109598376,-0.03806642275117229,-0.022846114482851967
Petite ville,0.047003824317518914,0.08683882454337105,-0.03872351785413294,-0.11049355712667247,-0.1331432743107697,-0.17999533561331477,-0.21430821306838202,-0.19954794525216363,-0.20552137675379897,-0.23670221695233712,-0.2500936121851516,-0.16216229708837415,-0.16711741250167225,-0.22292707320867228,-0.03541804935172992,-0.022094732844534268,-0.007024495563217981,-0.0659856596902123,-0.04502750808752616,-0.02283061902505859,-0.005101813773535288,-0.049924401624553985,-0.05228153901498346,-0.08520501326656015,-0.03322846191982812,-0.006958539460482107
Grande ville,0.2153619840184025,0.34555714006767735,0.03467046331954192,-0.12894395257437702,-0.20165563894239927,-0.30268623728539334,-0.3404249778517383,-0.37284671812154546,-0.4277303788249217,-0.562411278649116,-0.6401064359718738,-0.48607959819232105,-0.4551268026144548,-0.638474909548491,-0.22629181399871695,-0.18078756629821074,-0.15778002131179633,-0.29964134575598583,-0.27196858082913644,-0.15783583378880203,-0.07874074278153724,-0.16836085135530038,-0.23017530181680268,-0.2575307304257137,-0.16990042758897614,-0.02503180177082521
Agglomération parisienne,0.5282097412849602,0.7726783811183146,0.20490493412753702,-0.1859512917691196,-0.2219974821802066,-0.36613106589964495,-0.38034099554776457,-0.3834938731576292,-0.5021252625610022,-0.6828828400012682,-1.0069186758204363,-0.9161800969811533,-0.7802183722169612,-1.2825326306640248,-0.6138230360087995,-0.5085255170266088,-0.46135526257094506,-0.6057131325586844,-0.6013635938475734,-0.42155742272989716,-0.2963908376967129,-0.4037452244481717,-0.6944289458958114,-0.5298470914163826,-0.3670082778038567,-0.10769251992621665
Pauvre,0.23836094185618417,0.29232427548082557,0.16105742614644541,0.08491501912734052,0.03594016502640822,0.1313993373556933,0.17203723632998197,0.18935138655061712,-0.002375277586192062,0.005077999013208552,0.015446869694319286,0.008148336655243867,0.1253413319640615,0.10272013864062657,0.1211354545495859,0.08245384812848072,0.08471415528595068,0.014919119874648862,0.08226524057807438,0.051862912731206044,0.07373372805643738,0.04336049368398387,0.06904249294966901,0.04671072956031429,-0.03528106851343442,0.01855192123869969
Riche,0.11116772222234547,0.15509708851105514,0.06965453492776719,-0.08169372580998491,0.10287326200096705,-0.03711778097891267,-0.04039346903944563,-0.023613697698593086,0.1352715543468351,0.019324473225980833,-0.13039219540244038,-0.07908328952788765,-0.12071155315285353,-0.3817154144475782,-0.1350296038956345,-0.21116495547749825,-0.16537369101839694,-0.13517549724159086,-0.23659624532329426,-0.1874437796046617,-0.07153445095269881,-0.2787159437809006,-0.3129091132180063,-0.21665134939139385,-0.15255977577217592,-0.05929468593053206
Habite en couple,0.15519861017224065,0.16191023086724027,0.26122906992802813,0.3047889202908531,0.2735712841101086,0.26462584931517286,0.28211276105985017,0.14083711214656236,0.21184439594801685,0.27259387367739835,0.2631710820199718,0.1348998539409771,0.06820637137163238,0.10536881470988739,0.003555442415741232,-0.0037009162020521028,-0.058815419457159596,-0.005224967917070111,-0.04007653505436643,0.02605978422276932,0.010197342966010117,0.06910455277608817,-0.04517761102730582,-0.021478610101759825,-0.02723051330993788,-0.00671637210605671
Propriétaire,0.6904362384432229,0.7491878199368616,1.2235181386271492,1.4146940780154633,1.4958713932766363,1.6701682382353389,1.7861559352010326,1.6466196157490063,1.815786127717449,2.0025605681139362,2.0566918605205853,1.7460162157975523,1.690175558129078,1.7219464942907323,1.1432564863131485,0.9029685750689097,0.8520526971537081,0.9799061777654461,0.8299973779009615,0.6308831387576307,0.5262437535588762,0.47084865694197614,0.3970450670885461,0.3898319614313549,0.2675847508250657,0.11761564084643827
Chauffage électrique individuel,0.3428018157403079,0.22058724466993734,0.06794700484805169,0.09555322178291914,0.12983410782665503,0.03548580981208446,-0.24188827578573013,-0.594128463630429,-0.7232743923984715,-0.9352874475368007,-1.0781755065559224,-1.1400395457722885,-1.157977480688856,-0.9422726608826071,-0.7601627313863552,-0.7992255808717181,-0.8691484016187698,-0.9621411311415204,-0.8592855472124887,-0.5738280135831351,-0.5304012296690997,-0.42900803118268516,-0.22564797241871679,-0.24154191154186874,-0.17713237598165318,-0.08774403568765682
Chauffage non-électrique,-0.29703917376628497,-0.43108340806850165,-0.4835797738726476,-0.5192224977746958,-0.5218639318355147,-0.6150284620388673,-0.6394140598697559,-0.6224351971033124,-0.5985376202084063,-0.7087057190359797,-0.7574266818024947,-0.9006006079678209,-0.7655455081331635,-0.532630483770166,-0.5222859238873587,-0.576718984032403,-0.598702870258101,-0.577163047140072,-0.5195474786096737,-0.38321086603324495,-0.29872756759020036,-0.1725205286029253,-0.09343850820560468,-0.0025070858685529718,-0.04185197219473884,-0.051244019875709326
